Algorithm,Allocation,Processes,Latency
tree,core,2,0.36
tree,core,4,0.95
tree,core,6,1.03
tree,core,8,1.32
tree,core,10,1.47
tree,core,12,1.83
tree,core,14,2.24
tree,core,16,2.81
tree,core,18,2.77
tree,core,20,2.78
tree,core,22,2.78
tree,core,24,3.01
tree,core,26,3.70
tree,core,28,4.51
tree,core,30,4.95
tree,core,32,4.95
tree,core,34,5.00
tree,core,36,5.02
tree,core,38,4.94
tree,core,40,4.98
tree,core,42,5.02
tree,core,44,4.92
tree,core,46,4.90
tree,core,48,4.93
tree,socket,2,0.83
tree,socket,4,1.69
tree,socket,6,1.81
tree,socket,8,2.31
tree,socket,10,2.83
tree,socket,12,2.38
tree,socket,14,3.02
tree,socket,16,3.53
tree,socket,18,3.48
tree,socket,20,3.00
tree,socket,22,3.26
tree,socket,24,2.92
tree,socket,26,3.49
tree,socket,28,4.69
tree,socket,30,5.01
tree,socket,32,5.58
tree,socket,34,5.28
tree,socket,36,5.65
tree,socket,38,5.75
tree,socket,40,5.51
tree,socket,42,5.29
tree,socket,44,5.44
tree,socket,46,5.02
tree,socket,48,5.10
tree,node,2,2.01
tree,node,4,3.69
tree,node,6,4.09
tree,node,8,4.77
tree,node,10,4.34
tree,node,12,4.71
tree,node,14,4.67
tree,node,16,5.07
tree,node,18,4.87
tree,node,20,5.20
tree,node,22,5.21
tree,node,24,5.30
tree,node,26,5.34
tree,node,28,5.27
tree,node,30,5.14
tree,node,32,5.33
tree,node,34,5.33
tree,node,36,5.54
tree,node,38,5.46
tree,node,40,5.37
tree,node,42,5.29
tree,node,44,5.38
tree,node,46,5.53
tree,node,48,5.42
