Algorithm,Allocation,Processes,Latency
tree,core,2,0.35
tree,core,4,0.95
tree,core,6,1.10
tree,core,8,1.42
tree,core,10,1.58
tree,core,12,1.57
tree,core,14,2.53
tree,core,16,2.86
tree,core,18,2.99
tree,core,20,3.72
tree,core,22,3.20
tree,core,24,3.42
tree,core,26,3.81
tree,core,28,4.32
tree,core,30,4.41
tree,core,32,4.94
tree,core,34,5.04
tree,core,36,4.90
tree,core,38,5.35
tree,core,40,5.05
tree,core,42,5.23
tree,core,44,4.99
tree,core,46,4.93
tree,core,48,5.05
tree,socket,2,0.88
tree,socket,4,1.68
tree,socket,6,1.91
tree,socket,8,2.41
tree,socket,10,2.86
tree,socket,12,2.85
tree,socket,14,3.57
tree,socket,16,2.97
tree,socket,18,3.18
tree,socket,20,3.16
tree,socket,22,3.06
tree,socket,24,2.94
tree,socket,26,4.05
tree,socket,28,5.21
tree,socket,30,5.09
tree,socket,32,5.26
tree,socket,34,5.27
tree,socket,36,5.21
tree,socket,38,5.32
tree,socket,40,5.24
tree,socket,42,5.26
tree,socket,44,5.17
tree,socket,46,5.17
tree,socket,48,4.97
tree,node,2,1.99
tree,node,4,3.51
tree,node,6,3.72
tree,node,8,4.83
tree,node,10,4.39
tree,node,12,4.83
tree,node,14,4.81
tree,node,16,5.16
tree,node,18,4.95
tree,node,20,5.48
tree,node,22,5.73
tree,node,24,5.25
tree,node,26,5.45
tree,node,28,5.33
tree,node,30,5.09
tree,node,32,5.32
tree,node,34,5.93
tree,node,36,5.46
tree,node,38,5.77
tree,node,40,5.30
tree,node,42,5.40
tree,node,44,5.34
tree,node,46,5.49
tree,node,48,5.49
