Algorithm,Allocation,Processes,Latency
tree,core,2,0.36
tree,core,4,0.89
tree,core,6,1.05
tree,core,8,1.46
tree,core,10,1.52
tree,core,12,1.67
tree,core,14,2.53
tree,core,16,3.07
tree,core,18,3.50
tree,core,20,3.84
tree,core,22,2.96
tree,core,24,3.19
tree,core,26,4.21
tree,core,28,4.37
tree,core,30,4.57
tree,core,32,5.19
tree,core,34,5.24
tree,core,36,5.08
tree,core,38,4.91
tree,core,40,5.03
tree,core,42,5.19
tree,core,44,5.22
tree,core,46,5.12
tree,core,48,5.02
tree,socket,2,0.83
tree,socket,4,1.64
tree,socket,6,2.23
tree,socket,8,2.24
tree,socket,10,3.04
tree,socket,12,2.45
tree,socket,14,2.86
tree,socket,16,3.06
tree,socket,18,3.18
tree,socket,20,3.10
tree,socket,22,2.88
tree,socket,24,2.85
tree,socket,26,4.10
tree,socket,28,4.60
tree,socket,30,5.08
tree,socket,32,5.40
tree,socket,34,5.73
tree,socket,36,5.41
tree,socket,38,6.00
tree,socket,40,5.37
tree,socket,42,5.62
tree,socket,44,5.38
tree,socket,46,4.99
tree,socket,48,5.43
tree,node,2,1.98
tree,node,4,3.60
tree,node,6,3.86
tree,node,8,4.59
tree,node,10,4.59
tree,node,12,4.75
tree,node,14,4.63
tree,node,16,5.06
tree,node,18,5.23
tree,node,20,5.33
tree,node,22,5.33
tree,node,24,5.24
tree,node,26,5.17
tree,node,28,5.34
tree,node,30,5.13
tree,node,32,5.41
tree,node,34,5.43
tree,node,36,5.55
tree,node,38,5.53
tree,node,40,5.38
tree,node,42,5.48
tree,node,44,5.48
tree,node,46,5.43
tree,node,48,5.51
