Algorithm,Allocation,Processes,Latency
default,core,2,0.32
default,core,4,0.70
default,core,6,0.96
default,core,8,0.94
default,core,10,1.54
default,core,12,2.75
default,core,14,3.00
default,core,16,2.36
default,core,18,3.11
default,core,20,4.35
default,core,22,3.94
default,core,24,4.03
default,core,26,4.68
default,core,28,4.38
default,core,30,5.12
default,core,32,3.74
default,core,34,4.68
default,core,36,4.70
default,core,38,4.93
default,core,40,5.17
default,core,42,5.33
default,core,44,5.26
default,core,46,5.77
default,core,48,6.33
default,socket,2,0.48
default,socket,4,1.24
default,socket,6,1.55
default,socket,8,1.46
default,socket,10,1.86
default,socket,12,2.47
default,socket,14,3.07
default,socket,16,2.45
default,socket,18,2.35
default,socket,20,3.00
default,socket,22,2.92
default,socket,24,2.70
default,socket,26,4.39
default,socket,28,4.71
default,socket,30,5.11
default,socket,32,4.49
default,socket,34,5.13
default,socket,36,5.26
default,socket,38,5.13
default,socket,40,5.32
default,socket,42,5.32
default,socket,44,5.34
default,socket,46,5.37
default,socket,48,5.41
default,node,2,1.06
default,node,4,2.52
default,node,6,3.15
default,node,8,2.58
default,node,10,2.96
default,node,12,3.91
default,node,14,3.31
default,node,16,3.06
default,node,18,3.33
default,node,20,4.05
default,node,22,3.94
default,node,24,4.37
default,node,26,4.56
default,node,28,4.50
default,node,30,4.98
default,node,32,4.07
default,node,34,4.07
default,node,36,4.83
default,node,38,4.13
default,node,40,4.49
default,node,42,4.30
default,node,44,3.93
default,node,46,3.99
default,node,48,3.92
