Algorithm,Allocation,Processes,Latency
default,core,2,0.26
default,core,4,0.73
default,core,6,1.01
default,core,8,1.15
default,core,10,1.45
default,core,12,1.68
default,core,14,2.75
default,core,16,2.38
default,core,18,3.24
default,core,20,4.16
default,core,22,3.87
default,core,24,3.65
default,core,26,4.37
default,core,28,4.28
default,core,30,6.31
default,core,32,3.73
default,core,34,4.43
default,core,36,4.81
default,core,38,5.04
default,core,40,5.12
default,core,42,5.48
default,core,44,5.40
default,core,46,5.88
default,core,48,5.83
default,socket,2,0.60
default,socket,4,1.41
default,socket,6,1.87
default,socket,8,1.69
default,socket,10,2.38
default,socket,12,2.61
default,socket,14,2.57
default,socket,16,2.37
default,socket,18,2.55
default,socket,20,2.80
default,socket,22,3.02
default,socket,24,2.66
default,socket,26,4.86
default,socket,28,4.60
default,socket,30,4.98
default,socket,32,4.25
default,socket,34,5.53
default,socket,36,4.94
default,socket,38,5.14
default,socket,40,5.40
default,socket,42,5.26
default,socket,44,5.29
default,socket,46,5.28
default,socket,48,5.25
default,node,2,1.07
default,node,4,2.94
default,node,6,2.88
default,node,8,3.12
default,node,10,3.23
default,node,12,3.99
default,node,14,4.00
default,node,16,3.12
default,node,18,3.85
default,node,20,3.73
default,node,22,3.95
default,node,24,4.45
default,node,26,4.75
default,node,28,4.99
default,node,30,5.01
default,node,32,3.74
default,node,34,4.30
default,node,36,4.22
default,node,38,4.58
default,node,40,4.35
default,node,42,4.31
default,node,44,4.27
default,node,46,4.25
default,node,48,3.86
