Algorithm,Allocation,Processes,Latency
Default,core,2,0.39
Default,core,4,0.72
Default,core,6,0.98
Default,core,8,1.16
Default,core,10,1.41
Default,core,12,1.94
Default,core,14,5.28
Default,core,16,3.03
Default,core,18,3.30
Default,core,20,3.33
Default,core,22,4.59
Default,core,24,5.03
Default,core,26,4.78
Default,core,28,6.27
Default,core,30,5.03
Default,core,32,5.61
Default,core,34,5.96
Default,core,36,6.48
Default,core,38,6.75
Default,core,40,7.18
Default,core,42,7.52
Default,core,44,8.05
Default,core,46,8.02
Default,core,48,8.64
Default,socket,2,0.95
Default,socket,4,1.47
Default,socket,6,1.58
Default,socket,8,2.02
Default,socket,10,2.58
Default,socket,12,3.14
Default,socket,14,3.36
Default,socket,16,3.75
Default,socket,18,3.97
Default,socket,20,4.40
Default,socket,22,4.88
Default,socket,24,4.66
Default,socket,26,5.34
Default,socket,28,5.42
Default,socket,30,5.80
Default,socket,32,6.13
Default,socket,34,6.70
Default,socket,36,7.28
Default,socket,38,7.34
Default,socket,40,7.66
Default,socket,42,9.64
Default,socket,44,8.45
Default,socket,46,8.86
Default,socket,48,9.08
Default,node,2,2.03
Default,node,4,3.09
Default,node,6,3.21
Default,node,8,3.58
Default,node,10,3.10
Default,node,12,3.97
Default,node,14,3.93
Default,node,16,4.14
Default,node,18,4.55
Default,node,20,4.88
Default,node,22,4.82
Default,node,24,5.19
Default,node,26,5.96
Default,node,28,5.90
Default,node,30,5.62
Default,node,32,5.99
Default,node,34,6.65
Default,node,36,7.64
Default,node,38,7.23
Default,node,40,7.89
Default,node,42,7.93
Default,node,44,9.04
Default,node,46,9.05
Default,node,48,9.85
