Algorithm,Allocation,Processes,Latency
linear,core,2,0.38
linear,core,4,0.80
linear,core,6,0.92
linear,core,8,1.14
linear,core,10,1.40
linear,core,12,1.60
linear,core,14,2.18
linear,core,16,2.80
linear,core,18,3.15
linear,core,20,3.43
linear,core,22,4.02
linear,core,24,4.11
linear,core,26,4.51
linear,core,28,4.88
linear,core,30,5.17
linear,core,32,5.54
linear,core,34,5.98
linear,core,36,6.44
linear,core,38,6.75
linear,core,40,6.91
linear,core,42,7.57
linear,core,44,7.72
linear,core,46,8.00
linear,core,48,8.50
linear,socket,2,0.81
linear,socket,4,1.26
linear,socket,6,1.63
linear,socket,8,1.91
linear,socket,10,3.30
linear,socket,12,2.84
linear,socket,14,4.01
linear,socket,16,3.55
linear,socket,18,3.88
linear,socket,20,4.33
linear,socket,22,4.31
linear,socket,24,4.95
linear,socket,26,5.97
linear,socket,28,6.98
linear,socket,30,6.17
linear,socket,32,6.10
linear,socket,34,6.59
linear,socket,36,7.07
linear,socket,38,7.51
linear,socket,40,8.26
linear,socket,42,8.12
linear,socket,44,8.44
linear,socket,46,9.07
linear,socket,48,9.98
linear,node,2,2.01
linear,node,4,2.53
linear,node,6,2.60
linear,node,8,3.00
linear,node,10,3.13
linear,node,12,4.04
linear,node,14,4.52
linear,node,16,5.46
linear,node,18,4.19
linear,node,20,4.48
linear,node,22,4.51
linear,node,24,6.16
linear,node,26,5.13
linear,node,28,6.52
linear,node,30,5.60
linear,node,32,7.91
linear,node,34,8.45
linear,node,36,9.06
linear,node,38,7.86
linear,node,40,14.89
linear,node,42,8.07
linear,node,44,8.47
linear,node,46,9.57
linear,node,48,11.18
