Algorithm,Allocation,Processes,Latency
Default,core,2,0.36
Default,core,4,0.92
Default,core,6,1.17
Default,core,8,1.75
Default,core,10,1.54
Default,core,12,1.60
Default,core,14,2.36
Default,core,16,2.81
Default,core,18,3.65
Default,core,20,3.36
Default,core,22,3.04
Default,core,24,3.97
Default,core,26,3.69
Default,core,28,4.23
Default,core,30,4.82
Default,core,32,5.16
Default,core,34,5.07
Default,core,36,5.01
Default,core,38,4.94
Default,core,40,4.97
Default,core,42,5.12
Default,core,44,5.03
Default,core,46,5.08
Default,core,48,5.08
Default,socket,2,0.86
Default,socket,4,1.65
Default,socket,6,2.02
Default,socket,8,2.65
Default,socket,10,2.52
Default,socket,12,3.30
Default,socket,14,3.29
Default,socket,16,3.51
Default,socket,18,3.25
Default,socket,20,3.34
Default,socket,22,3.03
Default,socket,24,3.22
Default,socket,26,4.04
Default,socket,28,4.40
Default,socket,30,5.35
Default,socket,32,5.23
Default,socket,34,5.82
Default,socket,36,5.50
Default,socket,38,5.43
Default,socket,40,5.40
Default,socket,42,5.39
Default,socket,44,5.49
Default,socket,46,5.24
Default,socket,48,5.00
Default,node,2,2.01
Default,node,4,3.52
Default,node,6,3.97
Default,node,8,4.60
Default,node,10,4.41
Default,node,12,4.60
Default,node,14,4.73
Default,node,16,4.99
Default,node,18,4.90
Default,node,20,5.18
Default,node,22,5.21
Default,node,24,5.12
Default,node,26,5.30
Default,node,28,5.17
Default,node,30,5.04
Default,node,32,5.58
Default,node,34,5.38
Default,node,36,5.70
Default,node,38,5.53
Default,node,40,5.39
Default,node,42,5.27
Default,node,44,5.28
Default,node,46,5.32
Default,node,48,5.91
