Algorithm,Allocation,Processes,Latency
default,core,2,0.38
default,core,4,0.69
default,core,6,0.94
default,core,8,0.95
default,core,10,1.56
default,core,12,1.70
default,core,14,2.79
default,core,16,2.66
default,core,18,3.33
default,core,20,3.50
default,core,22,4.60
default,core,24,4.36
default,core,26,5.03
default,core,28,4.95
default,core,30,4.87
default,core,32,3.79
default,core,34,4.29
default,core,36,4.56
default,core,38,5.12
default,core,40,5.10
default,core,42,5.40
default,core,44,5.48
default,core,46,5.67
default,core,48,5.88
default,socket,2,0.59
default,socket,4,1.43
default,socket,6,1.83
default,socket,8,1.68
default,socket,10,2.49
default,socket,12,3.15
default,socket,14,3.26
default,socket,16,2.84
default,socket,18,2.37
default,socket,20,3.76
default,socket,22,2.96
default,socket,24,2.88
default,socket,26,4.55
default,socket,28,4.76
default,socket,30,5.02
default,socket,32,4.10
default,socket,34,5.12
default,socket,36,5.44
default,socket,38,5.28
default,socket,40,5.13
default,socket,42,5.31
default,socket,44,5.26
default,socket,46,5.23
default,socket,48,5.27
default,node,2,1.05
default,node,4,2.53
default,node,6,2.65
default,node,8,2.51
default,node,10,3.34
default,node,12,3.41
default,node,14,3.61
default,node,16,3.55
default,node,18,3.69
default,node,20,4.04
default,node,22,4.46
default,node,24,4.42
default,node,26,4.41
default,node,28,4.72
default,node,30,4.69
default,node,32,3.93
default,node,34,4.45
default,node,36,4.15
default,node,38,4.38
default,node,40,4.27
default,node,42,4.18
default,node,44,4.10
default,node,46,3.82
default,node,48,3.85
