Algorithm,Allocation,Processes,Latency
linear,core,2,0.39
linear,core,4,0.78
linear,core,6,0.91
linear,core,8,1.16
linear,core,10,1.38
linear,core,12,1.78
linear,core,14,2.23
linear,core,16,2.79
linear,core,18,3.56
linear,core,20,4.81
linear,core,22,4.23
linear,core,24,5.63
linear,core,26,4.53
linear,core,28,5.01
linear,core,30,5.14
linear,core,32,5.44
linear,core,34,5.79
linear,core,36,6.47
linear,core,38,6.80
linear,core,40,7.11
linear,core,42,7.66
linear,core,44,7.80
linear,core,46,8.54
linear,core,48,8.53
linear,socket,2,0.99
linear,socket,4,1.44
linear,socket,6,1.81
linear,socket,8,2.30
linear,socket,10,2.68
linear,socket,12,3.42
linear,socket,14,3.82
linear,socket,16,3.98
linear,socket,18,4.62
linear,socket,20,4.37
linear,socket,22,5.19
linear,socket,24,4.90
linear,socket,26,5.69
linear,socket,28,5.43
linear,socket,30,5.84
linear,socket,32,6.20
linear,socket,34,6.71
linear,socket,36,6.95
linear,socket,38,7.42
linear,socket,40,7.70
linear,socket,42,8.26
linear,socket,44,8.66
linear,socket,46,8.83
linear,socket,48,9.49
linear,node,2,2.01
linear,node,4,2.86
linear,node,6,2.91
linear,node,8,3.72
linear,node,10,3.37
linear,node,12,3.63
linear,node,14,4.03
linear,node,16,3.96
linear,node,18,4.11
linear,node,20,4.44
linear,node,22,4.61
linear,node,24,5.16
linear,node,26,7.80
linear,node,28,6.96
linear,node,30,5.60
linear,node,32,7.65
linear,node,34,6.86
linear,node,36,8.10
linear,node,38,8.15
linear,node,40,7.84
linear,node,42,10.86
linear,node,44,13.65
linear,node,46,11.98
linear,node,48,9.28
