Algorithm,Allocation,Processes,Latency
default,core,2,0.24
default,core,4,0.73
default,core,6,0.97
default,core,8,1.06
default,core,10,1.49
default,core,12,2.00
default,core,14,2.49
default,core,16,2.19
default,core,18,3.28
default,core,20,3.56
default,core,22,3.60
default,core,24,3.60
default,core,26,4.44
default,core,28,4.54
default,core,30,5.11
default,core,32,3.65
default,core,34,4.45
default,core,36,5.32
default,core,38,5.04
default,core,40,5.19
default,core,42,5.37
default,core,44,5.41
default,core,46,5.68
default,core,48,5.79
default,socket,2,0.67
default,socket,4,1.44
default,socket,6,1.96
default,socket,8,1.62
default,socket,10,2.11
default,socket,12,2.14
default,socket,14,2.95
default,socket,16,2.84
default,socket,18,3.21
default,socket,20,3.28
default,socket,22,3.02
default,socket,24,2.84
default,socket,26,4.71
default,socket,28,4.75
default,socket,30,5.04
default,socket,32,3.99
default,socket,34,5.14
default,socket,36,5.29
default,socket,38,5.31
default,socket,40,5.15
default,socket,42,5.33
default,socket,44,5.28
default,socket,46,5.41
default,socket,48,5.32
default,node,2,1.05
default,node,4,2.94
default,node,6,2.97
default,node,8,2.34
default,node,10,3.07
default,node,12,3.32
default,node,14,4.32
default,node,16,3.44
default,node,18,3.69
default,node,20,3.89
default,node,22,4.25
default,node,24,4.40
default,node,26,4.51
default,node,28,4.82
default,node,30,4.96
default,node,32,3.98
default,node,34,3.92
default,node,36,4.23
default,node,38,4.22
default,node,40,4.02
default,node,42,4.30
default,node,44,4.00
default,node,46,3.85
default,node,48,3.82
