Algorithm,Allocation,Processes,Latency
Default,core,2,0.38
Default,core,4,0.69
Default,core,6,1.92
Default,core,8,1.38
Default,core,10,1.69
Default,core,12,1.85
Default,core,14,2.20
Default,core,16,3.86
Default,core,18,3.72
Default,core,20,4.47
Default,core,22,4.69
Default,core,24,6.02
Default,core,26,5.44
Default,core,28,5.84
Default,core,30,5.15
Default,core,32,5.46
Default,core,34,5.95
Default,core,36,6.48
Default,core,38,6.60
Default,core,40,6.87
Default,core,42,7.28
Default,core,44,8.13
Default,core,46,8.52
Default,core,48,8.66
Default,socket,2,1.03
Default,socket,4,1.38
Default,socket,6,1.89
Default,socket,8,2.13
Default,socket,10,2.93
Default,socket,12,2.99
Default,socket,14,3.19
Default,socket,16,4.56
Default,socket,18,4.31
Default,socket,20,4.99
Default,socket,22,4.96
Default,socket,24,5.13
Default,socket,26,5.45
Default,socket,28,6.15
Default,socket,30,6.56
Default,socket,32,6.56
Default,socket,34,7.32
Default,socket,36,7.11
Default,socket,38,7.40
Default,socket,40,7.68
Default,socket,42,8.19
Default,socket,44,8.85
Default,socket,46,9.40
Default,socket,48,9.59
Default,node,2,2.01
Default,node,4,2.86
Default,node,6,3.12
Default,node,8,3.51
Default,node,10,3.33
Default,node,12,3.59
Default,node,14,3.68
Default,node,16,4.08
Default,node,18,4.27
Default,node,20,5.01
Default,node,22,5.19
Default,node,24,5.28
Default,node,26,6.95
Default,node,28,5.86
Default,node,30,5.73
Default,node,32,5.95
Default,node,34,6.44
Default,node,36,7.58
Default,node,38,7.69
Default,node,40,7.86
Default,node,42,8.03
Default,node,44,8.50
Default,node,46,8.75
Default,node,48,9.27
