Algorithm,Allocation,Processes,Latency
default,core,2,0.25
default,core,4,0.71
default,core,6,1.03
default,core,8,0.98
default,core,10,1.48
default,core,12,1.59
default,core,14,2.69
default,core,16,2.01
default,core,18,3.28
default,core,20,4.09
default,core,22,4.63
default,core,24,4.38
default,core,26,4.78
default,core,28,4.70
default,core,30,4.91
default,core,32,3.83
default,core,34,4.56
default,core,36,4.62
default,core,38,5.33
default,core,40,5.10
default,core,42,5.42
default,core,44,5.39
default,core,46,5.60
default,core,48,5.84
default,socket,2,0.61
default,socket,4,1.41
default,socket,6,1.61
default,socket,8,1.52
default,socket,10,2.09
default,socket,12,3.20
default,socket,14,2.79
default,socket,16,2.48
default,socket,18,2.69
default,socket,20,2.72
default,socket,22,2.73
default,socket,24,2.86
default,socket,26,5.00
default,socket,28,5.21
default,socket,30,5.01
default,socket,32,4.16
default,socket,34,5.36
default,socket,36,4.93
default,socket,38,5.42
default,socket,40,5.20
default,socket,42,5.30
default,socket,44,5.25
default,socket,46,6.12
default,socket,48,5.26
default,node,2,1.05
default,node,4,2.83
default,node,6,3.06
default,node,8,3.04
default,node,10,3.55
default,node,12,3.88
default,node,14,3.97
default,node,16,3.35
default,node,18,3.79
default,node,20,4.28
default,node,22,4.50
default,node,24,4.60
default,node,26,4.81
default,node,28,4.78
default,node,30,5.32
default,node,32,3.99
default,node,34,4.09
default,node,36,4.89
default,node,38,4.26
default,node,40,4.33
default,node,42,4.65
default,node,44,4.28
default,node,46,4.21
default,node,48,3.82
