Algorithm,Allocation,Processes,Latency
linear,core,2,0.50
linear,core,4,0.70
linear,core,6,0.96
linear,core,8,1.14
linear,core,10,1.40
linear,core,12,1.77
linear,core,14,2.37
linear,core,16,4.91
linear,core,18,3.68
linear,core,20,8.38
linear,core,22,7.98
linear,core,24,4.97
linear,core,26,4.72
linear,core,28,6.38
linear,core,30,5.00
linear,core,32,5.54
linear,core,34,5.96
linear,core,36,6.52
linear,core,38,7.63
linear,core,40,7.11
linear,core,42,8.11
linear,core,44,8.06
linear,core,46,8.04
linear,core,48,8.46
linear,socket,2,0.81
linear,socket,4,1.27
linear,socket,6,1.75
linear,socket,8,2.39
linear,socket,10,3.62
linear,socket,12,3.08
linear,socket,14,3.45
linear,socket,16,3.96
linear,socket,18,4.37
linear,socket,20,4.06
linear,socket,22,4.34
linear,socket,24,4.91
linear,socket,26,5.37
linear,socket,28,5.52
linear,socket,30,5.92
linear,socket,32,6.14
linear,socket,34,6.59
linear,socket,36,7.09
linear,socket,38,7.33
linear,socket,40,7.77
linear,socket,42,8.32
linear,socket,44,8.68
linear,socket,46,8.95
linear,socket,48,9.22
linear,node,2,2.02
linear,node,4,2.47
linear,node,6,2.65
linear,node,8,2.93
linear,node,10,3.21
linear,node,12,3.47
linear,node,14,3.71
linear,node,16,4.09
linear,node,18,4.27
linear,node,20,5.23
linear,node,22,6.20
linear,node,24,5.97
linear,node,26,5.15
linear,node,28,8.13
linear,node,30,6.67
linear,node,32,7.24
linear,node,34,6.54
linear,node,36,8.21
linear,node,38,7.42
linear,node,40,11.12
linear,node,42,11.04
linear,node,44,8.46
linear,node,46,8.88
linear,node,48,9.29
