Algorithm,Allocation,Processes,Latency
linear,core,2,0.38
linear,core,4,0.70
linear,core,6,1.02
linear,core,8,1.21
linear,core,10,1.45
linear,core,12,2.09
linear,core,14,2.98
linear,core,16,4.44
linear,core,18,4.23
linear,core,20,4.76
linear,core,22,8.02
linear,core,24,5.75
linear,core,26,4.75
linear,core,28,4.97
linear,core,30,4.95
linear,core,32,5.48
linear,core,34,6.02
linear,core,36,6.29
linear,core,38,6.83
linear,core,40,7.74
linear,core,42,7.24
linear,core,44,7.75
linear,core,46,8.22
linear,core,48,8.55
linear,socket,2,0.97
linear,socket,4,1.43
linear,socket,6,1.81
linear,socket,8,2.37
linear,socket,10,2.54
linear,socket,12,3.53
linear,socket,14,4.12
linear,socket,16,5.09
linear,socket,18,4.45
linear,socket,20,4.46
linear,socket,22,4.83
linear,socket,24,4.82
linear,socket,26,5.69
linear,socket,28,6.67
linear,socket,30,5.96
linear,socket,32,6.67
linear,socket,34,6.91
linear,socket,36,7.67
linear,socket,38,7.41
linear,socket,40,7.83
linear,socket,42,8.24
linear,socket,44,8.56
linear,socket,46,8.97
linear,socket,48,9.65
linear,node,2,2.01
linear,node,4,2.75
linear,node,6,2.84
linear,node,8,3.75
linear,node,10,3.91
linear,node,12,3.84
linear,node,14,3.73
linear,node,16,4.00
linear,node,18,5.76
linear,node,20,6.97
linear,node,22,5.43
linear,node,24,6.88
linear,node,26,6.56
linear,node,28,5.46
linear,node,30,6.81
linear,node,32,6.36
linear,node,34,7.85
linear,node,36,9.32
linear,node,38,8.07
linear,node,40,8.79
linear,node,42,14.83
linear,node,44,12.99
linear,node,46,11.83
linear,node,48,9.39
