Algorithm,Allocation,Processes,Latency
linear,core,2,0.41
linear,core,4,0.71
linear,core,6,0.99
linear,core,8,1.25
linear,core,10,1.43
linear,core,12,2.04
linear,core,14,2.73
linear,core,16,3.88
linear,core,18,4.42
linear,core,20,5.15
linear,core,22,4.51
linear,core,24,6.08
linear,core,26,4.63
linear,core,28,4.76
linear,core,30,5.15
linear,core,32,5.56
linear,core,34,6.03
linear,core,36,6.61
linear,core,38,6.62
linear,core,40,7.11
linear,core,42,7.47
linear,core,44,7.76
linear,core,46,8.46
linear,core,48,8.63
linear,socket,2,0.90
linear,socket,4,1.80
linear,socket,6,1.62
linear,socket,8,2.00
linear,socket,10,2.32
linear,socket,12,2.84
linear,socket,14,3.28
linear,socket,16,3.70
linear,socket,18,4.17
linear,socket,20,4.77
linear,socket,22,6.65
linear,socket,24,4.71
linear,socket,26,5.74
linear,socket,28,5.92
linear,socket,30,5.89
linear,socket,32,6.15
linear,socket,34,6.86
linear,socket,36,7.29
linear,socket,38,7.67
linear,socket,40,7.75
linear,socket,42,8.09
linear,socket,44,8.49
linear,socket,46,8.80
linear,socket,48,14.27
linear,node,2,2.01
linear,node,4,3.13
linear,node,6,2.91
linear,node,8,3.82
linear,node,10,3.45
linear,node,12,3.47
linear,node,14,4.09
linear,node,16,6.14
linear,node,18,4.25
linear,node,20,4.41
linear,node,22,4.89
linear,node,24,4.97
linear,node,26,5.43
linear,node,28,5.48
linear,node,30,6.84
linear,node,32,10.09
linear,node,34,8.33
linear,node,36,7.40
linear,node,38,8.41
linear,node,40,9.25
linear,node,42,8.18
linear,node,44,11.09
linear,node,46,9.01
linear,node,48,9.71
