Algorithm,Allocation,Processes,Latency
tree,core,2,0.36
tree,core,4,0.97
tree,core,6,1.18
tree,core,8,1.38
tree,core,10,1.44
tree,core,12,1.87
tree,core,14,2.81
tree,core,16,2.61
tree,core,18,2.82
tree,core,20,2.76
tree,core,22,34.43
tree,core,24,3.31
tree,core,26,4.04
tree,core,28,4.36
tree,core,30,4.84
tree,core,32,4.98
tree,core,34,5.20
tree,core,36,4.73
tree,core,38,5.03
tree,core,40,5.01
tree,core,42,5.06
tree,core,44,5.05
tree,core,46,5.23
tree,core,48,4.88
tree,socket,2,0.78
tree,socket,4,1.69
tree,socket,6,1.85
tree,socket,8,2.80
tree,socket,10,2.59
tree,socket,12,2.82
tree,socket,14,3.14
tree,socket,16,3.68
tree,socket,18,3.43
tree,socket,20,3.02
tree,socket,22,2.94
tree,socket,24,2.98
tree,socket,26,3.68
tree,socket,28,4.91
tree,socket,30,5.16
tree,socket,32,5.36
tree,socket,34,5.94
tree,socket,36,5.47
tree,socket,38,5.82
tree,socket,40,5.60
tree,socket,42,5.25
tree,socket,44,5.29
tree,socket,46,4.99
tree,socket,48,4.91
tree,node,2,1.99
tree,node,4,3.79
tree,node,6,3.69
tree,node,8,4.07
tree,node,10,4.42
tree,node,12,4.49
tree,node,14,4.68
tree,node,16,4.87
tree,node,18,4.71
tree,node,20,5.00
tree,node,22,5.18
tree,node,24,5.52
tree,node,26,5.43
tree,node,28,5.14
tree,node,30,8.05
tree,node,32,5.47
tree,node,34,5.14
tree,node,36,5.42
tree,node,38,5.58
tree,node,40,5.30
tree,node,42,5.64
tree,node,44,5.35
tree,node,46,5.35
tree,node,48,5.42
