Algorithm,Allocation,Processes,Latency
Default,core,2,0.36
Default,core,4,0.93
Default,core,6,1.06
Default,core,8,1.45
Default,core,10,1.71
Default,core,12,1.53
Default,core,14,2.36
Default,core,16,2.80
Default,core,18,2.81
Default,core,20,3.43
Default,core,22,3.72
Default,core,24,3.36
Default,core,26,3.75
Default,core,28,4.44
Default,core,30,4.81
Default,core,32,5.10
Default,core,34,5.05
Default,core,36,4.82
Default,core,38,5.12
Default,core,40,5.29
Default,core,42,5.49
Default,core,44,4.96
Default,core,46,5.10
Default,core,48,4.80
Default,socket,2,0.86
Default,socket,4,2.22
Default,socket,6,1.98
Default,socket,8,2.31
Default,socket,10,3.11
Default,socket,12,2.66
Default,socket,14,2.78
Default,socket,16,3.54
Default,socket,18,3.17
Default,socket,20,3.00
Default,socket,22,2.87
Default,socket,24,3.03
Default,socket,26,4.27
Default,socket,28,4.79
Default,socket,30,5.02
Default,socket,32,5.52
Default,socket,34,5.23
Default,socket,36,5.44
Default,socket,38,5.17
Default,socket,40,5.36
Default,socket,42,5.26
Default,socket,44,5.30
Default,socket,46,5.01
Default,socket,48,5.03
Default,node,2,2.00
Default,node,4,3.95
Default,node,6,4.24
Default,node,8,4.77
Default,node,10,4.66
Default,node,12,5.21
Default,node,14,4.97
Default,node,16,5.32
Default,node,18,5.30
Default,node,20,5.14
Default,node,22,5.46
Default,node,24,5.13
Default,node,26,5.29
Default,node,28,5.30
Default,node,30,5.24
Default,node,32,5.45
Default,node,34,5.31
Default,node,36,5.50
Default,node,38,5.48
Default,node,40,5.47
Default,node,42,5.33
Default,node,44,5.45
Default,node,46,5.48
Default,node,48,5.44
