Algorithm,Allocation,Processes,Latency
tree,core,2,0.36
tree,core,4,0.95
tree,core,6,1.04
tree,core,8,1.47
tree,core,10,1.97
tree,core,12,1.53
tree,core,14,2.44
tree,core,16,2.66
tree,core,18,3.29
tree,core,20,3.38
tree,core,22,3.76
tree,core,24,2.93
tree,core,26,3.60
tree,core,28,4.19
tree,core,30,4.77
tree,core,32,5.10
tree,core,34,5.01
tree,core,36,5.06
tree,core,38,4.90
tree,core,40,4.93
tree,core,42,5.16
tree,core,44,9.89
tree,core,46,4.94
tree,core,48,4.98
tree,socket,2,0.93
tree,socket,4,1.95
tree,socket,6,1.95
tree,socket,8,2.41
tree,socket,10,2.43
tree,socket,12,2.66
tree,socket,14,2.99
tree,socket,16,3.15
tree,socket,18,3.53
tree,socket,20,3.84
tree,socket,22,3.04
tree,socket,24,3.01
tree,socket,26,4.40
tree,socket,28,4.80
tree,socket,30,5.08
tree,socket,32,5.49
tree,socket,34,5.53
tree,socket,36,5.56
tree,socket,38,5.25
tree,socket,40,5.32
tree,socket,42,5.34
tree,socket,44,5.66
tree,socket,46,5.45
tree,socket,48,4.98
tree,node,2,1.99
tree,node,4,3.67
tree,node,6,3.94
tree,node,8,4.41
tree,node,10,4.55
tree,node,12,4.66
tree,node,14,4.55
tree,node,16,4.82
tree,node,18,5.27
tree,node,20,5.37
tree,node,22,5.12
tree,node,24,5.07
tree,node,26,5.11
tree,node,28,5.21
tree,node,30,5.30
tree,node,32,5.41
tree,node,34,5.35
tree,node,36,5.52
tree,node,38,5.40
tree,node,40,5.46
tree,node,42,5.28
tree,node,44,5.43
tree,node,46,5.42
tree,node,48,5.55
