Algorithm,Allocation,Processes,Latency
tree,core,2,0.37
tree,core,4,0.95
tree,core,6,1.05
tree,core,8,1.67
tree,core,10,2.09
tree,core,12,1.62
tree,core,14,2.40
tree,core,16,3.13
tree,core,18,3.12
tree,core,20,3.00
tree,core,22,3.30
tree,core,24,3.03
tree,core,26,3.75
tree,core,28,4.67
tree,core,30,4.88
tree,core,32,4.84
tree,core,34,5.05
tree,core,36,4.93
tree,core,38,5.04
tree,core,40,5.01
tree,core,42,5.36
tree,core,44,5.10
tree,core,46,5.05
tree,core,48,5.02
tree,socket,2,0.98
tree,socket,4,1.92
tree,socket,6,1.95
tree,socket,8,2.50
tree,socket,10,2.78
tree,socket,12,2.82
tree,socket,14,2.90
tree,socket,16,3.42
tree,socket,18,3.13
tree,socket,20,3.31
tree,socket,22,2.91
tree,socket,24,2.84
tree,socket,26,3.49
tree,socket,28,4.65
tree,socket,30,4.88
tree,socket,32,5.57
tree,socket,34,5.69
tree,socket,36,5.42
tree,socket,38,5.25
tree,socket,40,5.58
tree,socket,42,5.68
tree,socket,44,5.68
tree,socket,46,5.45
tree,socket,48,4.99
tree,node,2,1.99
tree,node,4,3.34
tree,node,6,3.45
tree,node,8,4.54
tree,node,10,4.26
tree,node,12,4.51
tree,node,14,4.48
tree,node,16,5.14
tree,node,18,4.92
tree,node,20,5.11
tree,node,22,5.15
tree,node,24,5.53
tree,node,26,5.05
tree,node,28,5.14
tree,node,30,5.04
tree,node,32,5.67
tree,node,34,5.31
tree,node,36,5.57
tree,node,38,5.52
tree,node,40,5.32
tree,node,42,5.35
tree,node,44,5.36
tree,node,46,5.38
tree,node,48,5.55
