Algorithm,Allocation,Processes,MessageSize,Latency
linear,core,2,1,0.26
linear,core,2,2,0.25
linear,core,2,4,0.26
linear,core,2,8,0.25
linear,core,2,16,0.26
linear,core,2,32,0.32
linear,core,2,64,0.29
linear,core,2,128,0.40
linear,core,2,256,0.43
linear,core,2,512,0.47
linear,core,2,1024,0.56
linear,core,2,2048,0.70
linear,core,2,4096,1.05
linear,core,2,8192,1.61
linear,core,2,16384,3.44
linear,core,2,32768,5.64
linear,core,2,65536,7.32
linear,core,2,131072,9.79
linear,core,2,262144,15.44
linear,core,2,524288,28.68
linear,core,2,1048576,60.53
linear,core,3,1,0.34
linear,core,3,2,0.35
linear,core,3,4,0.35
linear,core,3,8,0.35
linear,core,3,16,0.34
linear,core,3,32,0.38
linear,core,3,64,0.37
linear,core,3,128,0.48
linear,core,3,256,0.54
linear,core,3,512,0.56
linear,core,3,1024,0.75
linear,core,3,2048,0.94
linear,core,3,4096,1.43
linear,core,3,8192,2.14
linear,core,3,16384,4.71
linear,core,3,32768,7.78
linear,core,3,65536,11.41
linear,core,3,131072,18.27
linear,core,3,262144,32.53
linear,core,3,524288,62.38
linear,core,3,1048576,124.20
linear,core,4,1,0.20
linear,core,4,2,0.19
linear,core,4,4,0.19
linear,core,4,8,0.19
linear,core,4,16,0.19
linear,core,4,32,0.26
linear,core,4,64,0.25
linear,core,4,128,0.43
linear,core,4,256,0.47
linear,core,4,512,0.52
linear,core,4,1024,0.72
linear,core,4,2048,1.02
linear,core,4,4096,1.64
linear,core,4,8192,2.54
linear,core,4,16384,5.73
linear,core,4,32768,9.12
linear,core,4,65536,14.91
linear,core,4,131072,28.25
linear,core,4,262144,55.14
linear,core,4,524288,107.59
linear,core,4,1048576,220.98
linear,core,5,1,0.25
linear,core,5,2,0.26
linear,core,5,4,0.25
linear,core,5,8,0.26
linear,core,5,16,0.26
linear,core,5,32,0.33
linear,core,5,64,0.31
linear,core,5,128,0.53
linear,core,5,256,0.59
linear,core,5,512,0.62
linear,core,5,1024,0.91
linear,core,5,2048,1.28
linear,core,5,4096,2.04
linear,core,5,8192,3.06
linear,core,5,16384,6.13
linear,core,5,32768,10.39
linear,core,5,65536,19.37
linear,core,5,131072,37.13
linear,core,5,262144,71.83
linear,core,5,524288,144.08
linear,core,5,1048576,295.56
linear,core,6,1,0.31
linear,core,6,2,0.30
linear,core,6,4,0.30
linear,core,6,8,0.29
linear,core,6,16,0.30
linear,core,6,32,0.39
linear,core,6,64,0.40
linear,core,6,128,0.67
linear,core,6,256,0.73
linear,core,6,512,0.76
linear,core,6,1024,1.06
linear,core,6,2048,1.49
linear,core,6,4096,2.37
linear,core,6,8192,3.57
linear,core,6,16384,6.90
linear,core,6,32768,12.18
linear,core,6,65536,20.11
linear,core,6,131072,35.74
linear,core,6,262144,72.80
linear,core,6,524288,152.08
linear,core,6,1048576,286.41
linear,core,7,1,0.37
linear,core,7,2,0.35
linear,core,7,4,0.36
linear,core,7,8,0.36
linear,core,7,16,0.35
linear,core,7,32,0.51
linear,core,7,64,0.47
linear,core,7,128,0.80
linear,core,7,256,0.84
linear,core,7,512,0.87
linear,core,7,1024,1.25
linear,core,7,2048,1.73
linear,core,7,4096,2.71
linear,core,7,8192,4.05
linear,core,7,16384,7.62
linear,core,7,32768,13.43
linear,core,7,65536,25.94
linear,core,7,131072,50.55
linear,core,7,262144,100.06
linear,core,7,524288,198.57
linear,core,7,1048576,380.59
linear,core,8,1,0.67
linear,core,8,2,0.68
linear,core,8,4,0.67
linear,core,8,8,0.67
linear,core,8,16,0.68
linear,core,8,32,0.87
linear,core,8,64,0.86
linear,core,8,128,1.35
linear,core,8,256,1.38
linear,core,8,512,1.36
linear,core,8,1024,1.74
linear,core,8,2048,2.35
linear,core,8,4096,3.32
linear,core,8,8192,4.89
linear,core,8,16384,8.27
linear,core,8,32768,15.03
linear,core,8,65536,29.26
linear,core,8,131072,57.20
linear,core,8,262144,114.02
linear,core,8,524288,225.37
linear,core,8,1048576,429.73
linear,core,9,1,0.89
linear,core,9,2,0.89
linear,core,9,4,0.89
linear,core,9,8,0.88
linear,core,9,16,0.87
linear,core,9,32,1.03
linear,core,9,64,0.99
linear,core,9,128,1.49
linear,core,9,256,1.56
linear,core,9,512,1.52
linear,core,9,1024,2.02
linear,core,9,2048,2.68
linear,core,9,4096,3.87
linear,core,9,8192,5.60
linear,core,9,16384,9.11
linear,core,9,32768,16.38
linear,core,9,65536,31.98
linear,core,9,131072,63.47
linear,core,9,262144,126.85
linear,core,9,524288,248.85
linear,core,9,1048576,483.26
linear,core,10,1,0.87
linear,core,10,2,0.88
linear,core,10,4,0.87
linear,core,10,8,0.88
linear,core,10,16,0.86
linear,core,10,32,1.09
linear,core,10,64,1.02
linear,core,10,128,1.55
linear,core,10,256,1.59
linear,core,10,512,1.59
linear,core,10,1024,2.21
linear,core,10,2048,2.82
linear,core,10,4096,4.03
linear,core,10,8192,5.89
linear,core,10,16384,9.85
linear,core,10,32768,17.78
linear,core,10,65536,34.81
linear,core,10,131072,69.59
linear,core,10,262144,136.95
linear,core,10,524288,276.43
linear,core,10,1048576,529.80
linear,core,11,1,0.85
linear,core,11,2,0.84
linear,core,11,4,0.84
linear,core,11,8,0.83
linear,core,11,16,0.84
linear,core,11,32,1.11
linear,core,11,64,1.08
linear,core,11,128,1.65
linear,core,11,256,1.67
linear,core,11,512,1.60
linear,core,11,1024,2.32
linear,core,11,2048,2.99
linear,core,11,4096,4.30
linear,core,11,8192,6.31
linear,core,11,16384,10.61
linear,core,11,32768,19.46
linear,core,11,65536,38.06
linear,core,11,131072,76.49
linear,core,11,262144,147.52
linear,core,11,524288,300.00
linear,core,11,1048576,575.08
linear,core,12,1,2.12
linear,core,12,2,2.19
linear,core,12,4,1.95
linear,core,12,8,1.67
linear,core,12,16,1.48
linear,core,12,32,1.73
linear,core,12,64,1.46
linear,core,12,128,2.05
linear,core,12,256,2.02
linear,core,12,512,1.92
linear,core,12,1024,2.59
linear,core,12,2048,3.24
linear,core,12,4096,4.65
linear,core,12,8192,6.79
linear,core,12,16384,9.02
linear,core,12,32768,15.87
linear,core,12,65536,35.80
linear,core,12,131072,77.01
linear,core,12,262144,155.58
linear,core,12,524288,322.20
linear,core,12,1048576,652.38
linear,core,13,1,0.88
linear,core,13,2,0.90
linear,core,13,4,0.92
linear,core,13,8,0.93
linear,core,13,16,0.94
linear,core,13,32,1.21
linear,core,13,64,1.10
linear,core,13,128,1.86
linear,core,13,256,1.94
linear,core,13,512,1.92
linear,core,13,1024,2.74
linear,core,13,2048,3.53
linear,core,13,4096,5.08
linear,core,13,8192,7.58
linear,core,13,16384,13.50
linear,core,13,32768,25.52
linear,core,13,65536,51.63
linear,core,13,131072,104.52
linear,core,13,262144,201.36
linear,core,13,524288,407.30
linear,core,13,1048576,775.55
linear,core,14,1,1.14
linear,core,14,2,1.16
linear,core,14,4,1.09
linear,core,14,8,1.04
linear,core,14,16,1.01
linear,core,14,32,1.22
linear,core,14,64,1.19
linear,core,14,128,2.12
linear,core,14,256,2.16
linear,core,14,512,2.18
linear,core,14,1024,3.13
linear,core,14,2048,3.94
linear,core,14,4096,5.63
linear,core,14,8192,8.39
linear,core,14,16384,14.80
