Algorithm, Allocation, Processes, MessageSize, Latency
,core,2,1,0.20
,core,2,2,0.21
,core,2,4,0.21
,core,2,8,0.20
,core,2,16,0.20
,core,2,32,0.25
,core,2,64,0.24
,core,2,128,0.31
,core,2,256,0.33
,core,2,512,0.36
,core,2,1024,0.41
,core,2,2048,0.51
,core,2,4096,0.83
,core,2,8192,1.31
,core,2,16384,3.00
,core,2,32768,5.09
,core,2,65536,6.66
,core,2,131072,9.88
,core,2,262144,15.97
,core,2,524288,30.23
,core,2,1048576,62.83
,core,3,1,0.55
,core,3,2,0.54
,core,3,4,0.54
,core,3,8,0.52
,core,3,16,0.52
,core,3,32,0.46
,core,3,64,0.45
,core,3,128,0.54
,core,3,256,0.71
,core,3,512,0.59
,core,3,1024,0.76
,core,3,2048,0.95
,core,3,4096,1.44
,core,3,8192,2.14
,core,3,16384,4.58
,core,3,32768,7.72
,core,3,65536,11.56
,core,3,131072,25.60
,core,3,262144,33.50
,core,3,524288,62.97
,core,3,1048576,120.23
,core,4,1,0.32
,core,4,2,0.31
,core,4,4,0.31
,core,4,8,0.31
,core,4,16,0.31
,core,4,32,0.39
,core,4,64,0.38
,core,4,128,0.54
,core,4,256,0.56
,core,4,512,0.61
,core,4,1024,0.82
,core,4,2048,1.12
,core,4,4096,1.76
,core,4,8192,2.52
,core,4,16384,5.70
,core,4,32768,9.04
,core,4,65536,14.70
,core,4,131072,25.90
,core,4,262144,52.86
,core,4,524288,84.22
,core,4,1048576,232.91
,core,5,1,0.41
,core,5,2,0.42
,core,5,4,0.42
,core,5,8,0.42
,core,5,16,0.43
,core,5,32,0.49
,core,5,64,0.40
,core,5,128,0.67
,core,5,256,0.72
,core,5,512,0.77
,core,5,1024,1.01
,core,5,2048,1.26
,core,5,4096,1.95
,core,5,8192,3.04
,core,5,16384,5.90
,core,5,32768,10.15
,core,5,65536,19.13
,core,5,131072,37.54
,core,5,262144,73.42
,core,5,524288,146.62
,core,5,1048576,348.03
,core,6,1,0.49
,core,6,2,0.49
,core,6,4,0.49
,core,6,8,0.50
,core,6,16,0.49
,core,6,32,0.58
,core,6,64,0.52
,core,6,128,0.84
,core,6,256,0.87
,core,6,512,0.93
,core,6,1024,1.21
,core,6,2048,1.57
,core,6,4096,2.35
,core,6,8192,3.53
,core,6,16384,6.86
,core,6,32768,11.68
,core,6,65536,22.21
,core,6,131072,43.42
,core,6,262144,85.55
,core,6,524288,169.73
,core,6,1048576,412.86
,core,7,1,0.57
,core,7,2,0.57
,core,7,4,0.57
,core,7,8,0.58
,core,7,16,0.58
,core,7,32,0.69
,core,7,64,0.63
,core,7,128,1.01
,core,7,256,1.04
,core,7,512,1.09
,core,7,1024,1.37
,core,7,2048,1.74
,core,7,4096,2.61
,core,7,8192,4.01
,core,7,16384,7.46
,core,7,32768,12.90
,core,7,65536,25.42
,core,7,131072,50.23
,core,7,262144,99.99
,core,7,524288,196.93
,core,7,1048576,481.04
,core,8,1,0.63
,core,8,2,0.64
,core,8,4,0.64
,core,8,8,0.72
,core,8,16,0.73
,core,8,32,0.88
,core,8,64,0.74
,core,8,128,1.22
,core,8,256,1.25
,core,8,512,1.31
,core,8,1024,1.59
,core,8,2048,2.14
,core,8,4096,3.07
,core,8,8192,4.61
,core,8,16384,10.97
,core,8,32768,15.29
,core,8,65536,29.59
,core,8,131072,57.85
,core,8,262144,116.01
,core,8,524288,211.13
,core,8,1048576,383.01
,core,9,1,1.01
,core,9,2,1.05
,core,9,4,1.02
,core,9,8,0.90
,core,9,16,0.92
,core,9,32,1.07
,core,9,64,1.08
,core,9,128,1.51
,core,9,256,1.53
,core,9,512,1.59
,core,9,1024,1.89
,core,9,2048,2.42
,core,9,4096,3.19
,core,9,8192,4.81
,core,9,16384,10.78
,core,9,32768,16.52
,core,9,65536,32.04
,core,9,131072,63.55
,core,9,262144,124.76
,core,9,524288,249.41
,core,9,1048576,483.91
,core,10,1,0.82
,core,10,2,0.83
,core,10,4,0.82
,core,10,8,0.97
,core,10,16,0.95
,core,10,32,1.12
,core,10,64,0.89
,core,10,128,1.42
,core,10,256,1.43
