Algorithm,Allocation,Processes,MessageSize,Latency
default,core,2,1,0.21
default,core,2,2,0.22
default,core,2,4,0.22
default,core,2,8,0.22
default,core,2,16,0.22
default,core,2,32,0.28
default,core,2,64,0.24
default,core,2,128,0.31
default,core,2,256,0.33
default,core,2,512,0.37
default,core,2,1024,0.41
default,core,2,2048,0.53
default,core,2,4096,0.84
default,core,2,8192,1.33
default,core,2,16384,3.06
default,core,2,32768,5.25
default,core,2,65536,6.63
default,core,2,131072,9.66
default,core,2,262144,15.47
default,core,2,524288,28.67
default,core,2,1048576,63.85
default,core,3,1,0.50
default,core,3,2,0.50
default,core,3,4,0.49
default,core,3,8,0.50
default,core,3,16,0.50
default,core,3,32,0.43
default,core,3,64,0.43
default,core,3,128,0.52
default,core,3,256,0.70
default,core,3,512,0.61
default,core,3,1024,0.75
default,core,3,2048,0.96
default,core,3,4096,1.44
default,core,3,8192,2.17
default,core,3,16384,4.65
default,core,3,32768,7.58
default,core,3,65536,11.18
default,core,3,131072,25.22
default,core,3,262144,30.45
default,core,3,524288,57.54
default,core,3,1048576,117.21
default,core,4,1,0.32
default,core,4,2,0.32
default,core,4,4,0.32
default,core,4,8,0.32
default,core,4,16,0.32
default,core,4,32,0.39
default,core,4,64,0.38
default,core,4,128,0.54
default,core,4,256,0.58
default,core,4,512,0.62
default,core,4,1024,0.84
default,core,4,2048,1.14
default,core,4,4096,1.76
default,core,4,8192,2.58
default,core,4,16384,5.29
default,core,4,32768,8.30
default,core,4,65536,14.22
default,core,4,131072,25.33
default,core,4,262144,49.80
default,core,4,524288,99.77
default,core,4,1048576,224.91
default,core,5,1,0.43
default,core,5,2,0.43
default,core,5,4,0.43
default,core,5,8,0.43
default,core,5,16,0.42
default,core,5,32,0.50
default,core,5,64,0.41
default,core,5,128,0.68
default,core,5,256,0.73
default,core,5,512,0.78
default,core,5,1024,1.04
default,core,5,2048,1.30
default,core,5,4096,2.03
default,core,5,8192,3.14
default,core,5,16384,6.49
default,core,5,32768,10.54
default,core,5,65536,19.65
default,core,5,131072,37.74
default,core,5,262144,73.85
default,core,5,524288,146.04
default,core,5,1048576,333.13
default,core,6,1,0.50
default,core,6,2,0.52
default,core,6,4,0.50
default,core,6,8,0.51
default,core,6,16,0.50
default,core,6,32,0.62
default,core,6,64,0.58
default,core,6,128,0.86
default,core,6,256,0.86
default,core,6,512,0.94
default,core,6,1024,1.21
default,core,6,2048,1.61
default,core,6,4096,2.40
default,core,6,8192,3.63
default,core,6,16384,6.71
default,core,6,32768,11.00
default,core,6,65536,21.15
default,core,6,131072,42.97
default,core,6,262144,86.65
default,core,6,524288,169.69
default,core,6,1048576,397.03
default,core,7,1,0.58
default,core,7,2,0.58
default,core,7,4,0.58
default,core,7,8,0.58
default,core,7,16,0.58
default,core,7,32,0.68
default,core,7,64,0.63
default,core,7,128,0.98
default,core,7,256,1.01
default,core,7,512,1.08
default,core,7,1024,1.36
default,core,7,2048,1.73
default,core,7,4096,2.60
default,core,7,8192,4.13
default,core,7,16384,7.72
default,core,7,32768,12.97
default,core,7,65536,25.10
default,core,7,131072,49.77
default,core,7,262144,98.97
default,core,7,524288,197.88
default,core,7,1048576,464.69
default,core,8,1,0.59
default,core,8,2,0.57
default,core,8,4,0.57
default,core,8,8,0.67
default,core,8,16,0.70
default,core,8,32,0.82
default,core,8,64,0.73
default,core,8,128,1.13
default,core,8,256,1.10
default,core,8,512,1.20
default,core,8,1024,1.48
default,core,8,2048,2.05
default,core,8,4096,3.05
default,core,8,8192,4.66
default,core,8,16384,10.61
default,core,8,32768,14.30
default,core,8,65536,29.01
default,core,8,131072,57.09
default,core,8,262144,114.00
default,core,8,524288,222.60
default,core,8,1048576,398.78
default,core,9,1,0.98
default,core,9,2,0.98
default,core,9,4,0.97
default,core,9,8,0.90
default,core,9,16,0.90
default,core,9,32,1.03
default,core,9,64,1.08
default,core,9,128,1.46
default,core,9,256,1.57
default,core,9,512,1.57
default,core,9,1024,1.92
default,core,9,2048,2.42
default,core,9,4096,3.31
default,core,9,8192,4.91
default,core,9,16384,10.65
default,core,9,32768,15.54
default,core,9,65536,25.92
default,core,9,131072,44.18
default,core,9,262144,87.51
default,core,9,524288,196.58
default,core,9,1048576,401.70
