Algorithm,Allocation,Processes,MessageSize,Latency
chain,core,2,1,0.21
chain,core,2,2,0.22
chain,core,2,4,0.22
chain,core,2,8,0.22
chain,core,2,16,0.22
chain,core,2,32,0.25
chain,core,2,64,0.25
chain,core,2,128,0.34
chain,core,2,256,0.35
chain,core,2,512,0.38
chain,core,2,1024,0.45
chain,core,2,2048,0.58
chain,core,2,4096,0.86
chain,core,2,8192,1.35
chain,core,2,16384,3.06
chain,core,2,32768,5.16
chain,core,2,65536,6.68
chain,core,2,131072,9.90
chain,core,2,262144,16.04
chain,core,2,524288,30.01
chain,core,2,1048576,63.61
chain,core,3,1,0.39
chain,core,3,2,0.39
chain,core,3,4,0.39
chain,core,3,8,0.40
chain,core,3,16,0.39
chain,core,3,32,0.42
chain,core,3,64,0.43
chain,core,3,128,0.53
chain,core,3,256,0.57
chain,core,3,512,0.58
chain,core,3,1024,0.77
chain,core,3,2048,0.96
chain,core,3,4096,1.43
chain,core,3,8192,2.15
chain,core,3,16384,4.71
chain,core,3,32768,7.69
chain,core,3,65536,11.53
chain,core,3,131072,18.22
chain,core,3,262144,32.34
chain,core,3,524288,60.95
chain,core,3,1048576,118.33
chain,core,4,1,0.25
chain,core,4,2,0.26
chain,core,4,4,0.25
chain,core,4,8,0.26
chain,core,4,16,0.26
chain,core,4,32,0.34
chain,core,4,64,0.32
chain,core,4,128,0.51
chain,core,4,256,0.54
chain,core,4,512,0.55
chain,core,4,1024,0.76
chain,core,4,2048,1.07
chain,core,4,4096,1.66
chain,core,4,8192,2.53
chain,core,4,16384,5.34
chain,core,4,32768,8.74
chain,core,4,65536,14.27
chain,core,4,131072,26.43
chain,core,4,262144,52.31
chain,core,4,524288,95.16
chain,core,4,1048576,183.74
chain,core,5,1,0.27
chain,core,5,2,0.29
chain,core,5,4,0.27
chain,core,5,8,0.28
chain,core,5,16,0.28
chain,core,5,32,0.36
chain,core,5,64,0.35
chain,core,5,128,0.60
chain,core,5,256,0.64
chain,core,5,512,0.67
chain,core,5,1024,0.97
chain,core,5,2048,1.31
chain,core,5,4096,2.03
chain,core,5,8192,3.04
chain,core,5,16384,6.11
chain,core,5,32768,10.52
chain,core,5,65536,19.35
chain,core,5,131072,37.07
