Algorithm,Allocation,Processes,MessageSize,Latency
chain,core,2,1,0.20
chain,core,2,2,0.22
chain,core,2,4,0.21
chain,core,2,8,0.20
chain,core,2,16,0.20
chain,core,2,32,0.24
chain,core,2,64,0.23
chain,core,2,128,0.31
chain,core,2,256,0.34
chain,core,2,512,0.36
chain,core,2,1024,0.44
chain,core,2,2048,0.56
chain,core,2,4096,0.85
chain,core,2,8192,1.35
chain,core,2,16384,3.11
chain,core,2,32768,5.44
chain,core,2,65536,6.92
chain,core,2,131072,10.05
chain,core,2,262144,16.19
chain,core,2,524288,30.47
chain,core,2,1048576,64.95
chain,core,3,1,0.48
chain,core,3,2,0.47
chain,core,3,4,0.47
chain,core,3,8,0.47
chain,core,3,16,0.46
chain,core,3,32,0.48
chain,core,3,64,0.48
chain,core,3,128,0.60
chain,core,3,256,0.62
chain,core,3,512,0.89
chain,core,3,1024,0.83
chain,core,3,2048,1.03
chain,core,3,4096,1.49
chain,core,3,8192,2.24
chain,core,3,16384,4.78
chain,core,3,32768,7.92
chain,core,3,65536,11.77
chain,core,3,131072,18.75
chain,core,3,262144,32.37
chain,core,3,524288,60.09
chain,core,3,1048576,125.31
chain,core,4,1,0.21
chain,core,4,2,0.21
chain,core,4,4,0.21
chain,core,4,8,0.21
chain,core,4,16,0.21
chain,core,4,32,0.27
chain,core,4,64,0.26
chain,core,4,128,0.43
chain,core,4,256,0.48
chain,core,4,512,0.56
chain,core,4,1024,0.75
chain,core,4,2048,1.05
chain,core,4,4096,1.69
chain,core,4,8192,2.63
chain,core,4,16384,5.60
chain,core,4,32768,8.90
chain,core,4,65536,14.53
chain,core,4,131072,26.21
chain,core,4,262144,51.56
chain,core,4,524288,107.21
chain,core,4,1048576,214.89
chain,core,5,1,0.27
chain,core,5,2,0.27
chain,core,5,4,0.26
chain,core,5,8,0.27
chain,core,5,16,0.27
chain,core,5,32,0.37
chain,core,5,64,0.34
chain,core,5,128,0.58
chain,core,5,256,0.62
chain,core,5,512,0.66
chain,core,5,1024,0.90
chain,core,5,2048,1.30
chain,core,5,4096,2.06
chain,core,5,8192,3.14
chain,core,5,16384,6.12
chain,core,5,32768,10.59
chain,core,5,65536,19.61
chain,core,5,131072,37.75
chain,core,5,262144,73.68
chain,core,5,524288,145.06
chain,core,5,1048576,288.68
chain,core,6,1,0.36
chain,core,6,2,0.35
chain,core,6,4,0.36
chain,core,6,8,0.37
chain,core,6,16,0.36
chain,core,6,32,0.43
chain,core,6,64,0.44
chain,core,6,128,0.67
chain,core,6,256,0.72
chain,core,6,512,0.75
chain,core,6,1024,1.05
chain,core,6,2048,1.44
chain,core,6,4096,2.22
chain,core,6,8192,3.43
chain,core,6,16384,7.66
chain,core,6,32768,12.31
chain,core,6,65536,22.60
chain,core,6,131072,42.60
chain,core,6,262144,83.24
chain,core,6,524288,163.85
chain,core,6,1048576,334.54
chain,core,7,1,0.44
chain,core,7,2,0.43
chain,core,7,4,0.45
chain,core,7,8,0.44
chain,core,7,16,0.45
chain,core,7,32,0.53
chain,core,7,64,0.54
chain,core,7,128,0.78
chain,core,7,256,0.86
chain,core,7,512,0.91
chain,core,7,1024,1.23
chain,core,7,2048,1.62
chain,core,7,4096,2.50
chain,core,7,8192,3.81
chain,core,7,16384,8.57
chain,core,7,32768,13.99
chain,core,7,65536,25.40
chain,core,7,131072,47.83
chain,core,7,262144,95.40
chain,core,7,524288,182.84
chain,core,7,1048576,359.84
chain,core,8,1,0.59
chain,core,8,2,0.58
chain,core,8,4,0.60
chain,core,8,8,0.58
chain,core,8,16,0.59
chain,core,8,32,0.72
chain,core,8,64,0.69
chain,core,8,128,1.10
chain,core,8,256,1.12
chain,core,8,512,1.19
chain,core,8,1024,1.45
chain,core,8,2048,1.94
chain,core,8,4096,2.83
chain,core,8,8192,4.28
chain,core,8,16384,9.67
chain,core,8,32768,15.75
chain,core,8,65536,28.30
chain,core,8,131072,52.16
chain,core,8,262144,103.48
chain,core,8,524288,195.42
chain,core,8,1048576,366.96
chain,core,9,1,1.11
chain,core,9,2,1.10
chain,core,9,4,1.09
chain,core,9,8,1.09
chain,core,9,16,1.06
chain,core,9,32,1.10
chain,core,9,64,1.08
chain,core,9,128,1.41
chain,core,9,256,1.44
chain,core,9,512,1.56
chain,core,9,1024,1.84
chain,core,9,2048,2.30
chain,core,9,4096,3.28
chain,core,9,8192,4.79
chain,core,9,16384,11.14
chain,core,9,32768,17.86
chain,core,9,65536,31.71
chain,core,9,131072,58.13
chain,core,9,262144,113.48
chain,core,9,524288,206.85
chain,core,9,1048576,390.55
chain,core,10,1,1.08
chain,core,10,2,1.04
chain,core,10,4,1.03
