Algorithm, Allocation, Processes, MessageSize, Latency
chain,core,11,32768,19.92
chain,core,11,65536,34.73
chain,core,11,131072,63.73
chain,core,11,262144,109.57
chain,core,11,524288,216.62
chain,core,11,1048576,415.85
chain,core,12,1,0.93
chain,core,12,2,0.92
chain,core,12,4,0.92
chain,core,12,8,0.91
chain,core,12,16,0.91
chain,core,12,32,1.07
chain,core,12,64,1.05
chain,core,12,128,1.39
chain,core,12,256,1.44
chain,core,12,512,1.53
chain,core,12,1024,1.93
chain,core,12,2048,2.50
chain,core,12,4096,3.66
chain,core,12,8192,5.58
chain,core,12,16384,13.00
chain,core,12,32768,20.31
chain,core,12,65536,34.90
chain,core,12,131072,64.29
chain,core,12,262144,121.54
chain,core,12,524288,238.66
chain,core,12,1048576,419.07
chain,core,13,1,1.81
chain,core,13,2,1.82
chain,core,13,4,1.63
chain,core,13,8,1.48
chain,core,13,16,1.32
chain,core,13,32,1.44
chain,core,13,64,1.30
chain,core,13,128,1.71
chain,core,13,256,1.69
chain,core,13,512,1.73
chain,core,13,1024,2.16
chain,core,13,2048,2.76
chain,core,13,4096,3.98
chain,core,13,8192,6.22
chain,core,13,16384,14.42
chain,core,13,32768,23.04
chain,core,13,65536,40.20
chain,core,13,131072,75.39
chain,core,13,262144,137.98
chain,core,13,524288,271.27
chain,core,13,1048576,474.06
chain,core,14,1,0.87
chain,core,14,2,0.85
chain,core,14,4,0.84
chain,core,14,8,0.83
chain,core,14,16,0.83
chain,core,14,32,1.02
chain,core,14,64,0.98
chain,core,14,128,1.50
chain,core,14,256,1.56
chain,core,14,512,1.67
chain,core,14,1024,2.12
chain,core,14,2048,2.82
chain,core,14,4096,4.13
chain,core,14,8192,6.48
chain,core,14,16384,15.20
chain,core,14,32768,24.02
chain,core,14,65536,41.88
chain,core,14,131072,78.33
chain,core,14,262144,139.12
chain,core,14,524288,273.51
chain,core,14,1048576,480.66
chain,core,15,1,1.31
chain,core,15,2,1.28
chain,core,15,4,1.22
chain,core,15,8,1.17
