Algorithm,Allocation,Processes,MessageSize,Latency
linear,core,13,8,1.08
linear,core,13,16,1.02
linear,core,13,32,1.22
linear,core,13,64,1.11
linear,core,13,128,1.86
linear,core,13,256,1.92
linear,core,13,512,1.91
linear,core,13,1024,2.73
linear,core,13,2048,3.48
linear,core,13,4096,5.08
linear,core,13,8192,7.53
linear,core,13,16384,13.46
linear,core,13,32768,24.74
linear,core,13,65536,51.15
linear,core,13,131072,101.55
linear,core,13,262144,202.13
linear,core,13,524288,406.72
linear,core,13,1048576,754.33
linear,core,14,1,1.26
linear,core,14,2,1.26
linear,core,14,4,1.25
linear,core,14,8,1.19
linear,core,14,16,1.14
linear,core,14,32,1.44
linear,core,14,64,1.30
linear,core,14,128,2.12
linear,core,14,256,2.14
linear,core,14,512,2.20
linear,core,14,1024,3.11
linear,core,14,2048,3.95
linear,core,14,4096,5.71
linear,core,14,8192,8.49
linear,core,14,16384,14.69
linear,core,14,32768,28.39
linear,core,14,65536,61.28
linear,core,14,131072,118.41
linear,core,14,262144,239.57
linear,core,14,524288,482.02
linear,core,14,1048576,883.25
linear,core,15,1,1.16
linear,core,15,2,1.07
linear,core,15,4,1.09
linear,core,15,8,1.08
linear,core,15,16,1.08
linear,core,15,32,1.46
linear,core,15,64,1.41
linear,core,15,128,2.32
linear,core,15,256,2.40
linear,core,15,512,2.44
linear,core,15,1024,3.55
linear,core,15,2048,4.39
linear,core,15,4096,6.38
linear,core,15,8192,9.41
linear,core,15,16384,16.01
linear,core,15,32768,30.85
linear,core,15,65536,65.65
linear,core,15,131072,130.54
linear,core,15,262144,264.03
linear,core,15,524288,531.90
linear,core,15,1048576,971.18
linear,core,16,1,1.67
linear,core,16,2,1.65
linear,core,16,4,1.64
linear,core,16,8,1.65
linear,core,16,16,1.64
linear,core,16,32,1.93
linear,core,16,64,1.84
linear,core,16,128,3.40
linear,core,16,256,3.47
linear,core,16,512,3.63
linear,core,16,1024,4.62
linear,core,16,2048,5.59
linear,core,16,4096,7.76
linear,core,16,8192,11.29
linear,core,16,16384,16.80
linear,core,16,32768,34.62
linear,core,16,65536,71.77
linear,core,16,131072,148.55
linear,core,16,262144,297.44
linear,core,16,524288,595.64
linear,core,16,1048576,1084.97
linear,core,17,1,2.78
linear,core,17,2,2.80
linear,core,17,4,2.76
linear,core,17,8,2.72
linear,core,17,16,2.63
linear,core,17,32,2.89
linear,core,17,64,2.83
linear,core,17,128,3.60
linear,core,17,256,3.64
linear,core,17,512,3.80
linear,core,17,1024,5.02
linear,core,17,2048,5.94
linear,core,17,4096,8.21
linear,core,17,8192,12.00
linear,core,17,16384,18.69
linear,core,17,32768,38.52
linear,core,17,65536,76.89
linear,core,17,131072,157.11
linear,core,17,262144,319.12
linear,core,17,524288,638.06
linear,core,17,1048576,1082.82
linear,core,18,1,2.48
linear,core,18,2,2.49
linear,core,18,4,2.48
linear,core,18,8,2.47
linear,core,18,16,2.38
linear,core,18,32,2.75
linear,core,18,64,2.66
linear,core,18,128,3.90
linear,core,18,256,4.01
linear,core,18,512,4.25
linear,core,18,1024,5.55
linear,core,18,2048,6.65
linear,core,18,4096,9.20
linear,core,18,8192,13.38
linear,core,18,16384,20.58
linear,core,18,32768,39.60
linear,core,18,65536,80.51
linear,core,18,131072,166.80
linear,core,18,262144,334.89
linear,core,18,524288,676.29
linear,core,18,1048576,1257.89
linear,core,19,1,2.45
linear,core,19,2,2.49
linear,core,19,4,2.52
linear,core,19,8,2.38
linear,core,19,16,2.34
linear,core,19,32,2.76
linear,core,19,64,2.68
linear,core,19,128,4.27
linear,core,19,256,4.34
linear,core,19,512,4.47
linear,core,19,1024,6.03
linear,core,19,2048,7.22
linear,core,19,4096,9.99
linear,core,19,8192,14.56
linear,core,19,16384,22.20
linear,core,19,32768,42.70
linear,core,19,65536,86.69
linear,core,19,131072,183.81
linear,core,19,262144,287.11
