Algorithm, Allocation, Processes, MessageSize, Latency
default,core,2,1,0.21
default,core,2,2,0.22
default,core,2,4,0.22
default,core,2,8,0.21
default,core,2,16,0.22
default,core,2,32,0.25
default,core,2,64,0.23
default,core,2,128,0.31
default,core,2,256,0.33
default,core,2,512,0.37
default,core,2,1024,0.41
default,core,2,2048,0.53
default,core,2,4096,0.83
default,core,2,8192,1.31
default,core,2,16384,3.07
default,core,2,32768,5.18
default,core,2,65536,6.68
default,core,2,131072,9.89
default,core,2,262144,16.13
default,core,2,524288,30.18
default,core,2,1048576,61.87
default,core,3,1,0.52
default,core,3,2,0.51
default,core,3,4,0.51
default,core,3,8,0.51
default,core,3,16,0.52
default,core,3,32,0.45
default,core,3,64,0.45
default,core,3,128,0.54
default,core,3,256,0.74
default,core,3,512,0.61
default,core,3,1024,0.78
default,core,3,2048,0.97
default,core,3,4096,1.45
default,core,3,8192,2.17
default,core,3,16384,4.74
default,core,3,32768,7.84
default,core,3,65536,11.63
default,core,3,131072,25.76
default,core,3,262144,32.28
default,core,3,524288,62.07
default,core,3,1048576,127.51
default,core,4,1,0.33
default,core,4,2,0.31
default,core,4,4,0.32
default,core,4,8,0.32
default,core,4,16,0.32
default,core,4,32,0.37
default,core,4,64,0.36
default,core,4,128,0.53
default,core,4,256,0.56
default,core,4,512,0.61
default,core,4,1024,0.81
default,core,4,2048,1.10
default,core,4,4096,1.73
default,core,4,8192,2.48
default,core,4,16384,5.47
default,core,4,32768,8.88
default,core,4,65536,14.48
default,core,4,131072,26.36
default,core,4,262144,51.99
default,core,4,524288,105.36
default,core,4,1048576,232.72
default,core,5,1,0.41
default,core,5,2,0.42
default,core,5,4,0.41
default,core,5,8,0.41
default,core,5,16,0.41
default,core,5,32,0.50
default,core,5,64,0.40
default,core,5,128,0.70
default,core,5,256,0.73
default,core,5,512,0.89
default,core,5,1024,1.03
default,core,5,2048,1.27
default,core,5,4096,2.00
default,core,5,8192,3.02
default,core,5,16384,6.53
default,core,5,32768,10.81
default,core,5,65536,19.74
default,core,5,131072,37.84
default,core,5,262144,73.84
default,core,5,524288,145.32
default,core,5,1048576,341.97
default,core,6,1,0.50
default,core,6,2,0.51
default,core,6,4,0.50
default,core,6,8,0.51
default,core,6,16,0.50
default,core,6,32,0.61
default,core,6,64,0.54
default,core,6,128,0.83
default,core,6,256,0.85
default,core,6,512,0.91
default,core,6,1024,1.19
default,core,6,2048,1.55
default,core,6,4096,2.33
default,core,6,8192,3.52
default,core,6,16384,6.63
default,core,6,32768,11.39
default,core,6,65536,21.88
default,core,6,131072,42.88
default,core,6,262144,85.17
default,core,6,524288,158.29
default,core,6,1048576,411.53
default,core,7,1,0.59
default,core,7,2,0.60
default,core,7,4,0.59
default,core,7,8,0.60
default,core,7,16,0.60
default,core,7,32,0.71
default,core,7,64,0.65
default,core,7,128,1.02
default,core,7,256,1.05
default,core,7,512,1.08
default,core,7,1024,1.35
default,core,7,2048,1.73
default,core,7,4096,2.57
default,core,7,8192,3.99
default,core,7,16384,7.56
default,core,7,32768,13.05
default,core,7,65536,25.46
default,core,7,131072,50.45
default,core,7,262144,100.30
default,core,7,524288,199.24
default,core,7,1048576,482.34
default,core,8,1,0.62
default,core,8,2,0.64
default,core,8,4,0.63
default,core,8,8,0.70
default,core,8,16,0.73
default,core,8,32,0.86
default,core,8,64,0.75
default,core,8,128,1.19
default,core,8,256,1.20
default,core,8,512,1.29
default,core,8,1024,1.58
default,core,8,2048,2.13
default,core,8,4096,3.05
default,core,8,8192,4.64
default,core,8,16384,10.71
default,core,8,32768,15.15
default,core,8,65536,29.29
default,core,8,131072,57.29
default,core,8,262144,113.64
default,core,8,524288,226.03
default,core,8,1048576,438.31
default,core,9,1,1.00
default,core,9,2,1.01
default,core,9,4,1.00
default,core,9,8,0.91
default,core,9,16,0.91
default,core,9,32,1.03
default,core,9,64,1.06
default,core,9,128,1.46
default,core,9,256,1.50
default,core,9,512,1.55
default,core,9,1024,1.89
default,core,9,2048,2.40
default,core,9,4096,3.23
default,core,9,8192,4.85
default,core,9,16384,10.92
default,core,9,32768,16.70
default,core,9,65536,32.10
default,core,9,131072,63.58
default,core,9,262144,108.36
default,core,9,524288,224.39
default,core,9,1048576,420.52
default,core,10,1,0.86
default,core,10,2,0.85
default,core,10,4,0.86
default,core,10,8,0.98
default,core,10,16,0.98
default,core,10,32,1.12
default,core,10,64,0.94
default,core,10,128,1.32
default,core,10,256,1.39
default,core,10,512,1.43
default,core,10,1024,1.77
default,core,10,2048,2.43
default,core,10,4096,3.59
default,core,10,8192,5.37
default,core,10,16384,11.26
default,core,10,32768,18.22
default,core,10,65536,35.61
default,core,10,131072,70.67
default,core,10,262144,136.40
default,core,10,524288,277.61
default,core,10,1048576,529.50
default,core,11,1,0.68
default,core,11,2,0.67
default,core,11,4,0.68
default,core,11,8,0.94
default,core,11,16,0.92
default,core,11,32,1.10
default,core,11,64,0.74
default,core,11,128,1.16
default,core,11,256,1.22
default,core,11,512,1.24
default,core,11,1024,1.60
default,core,11,2048,2.17
default,core,11,4096,3.75
default,core,11,8192,5.75
default,core,11,16384,11.68
default,core,11,32768,19.62
default,core,11,65536,39.16
default,core,11,131072,78.15
default,core,11,262144,151.14
default,core,11,524288,307.07
default,core,11,1048576,597.66
default,core,12,1,0.92
default,core,12,2,0.91
default,core,12,4,0.90
default,core,12,8,1.11
default,core,12,16,1.13
default,core,12,32,1.28
default,core,12,64,0.93
default,core,12,128,1.39
default,core,12,256,1.39
default,core,12,512,1.39
default,core,12,1024,1.80
default,core,12,2048,2.38
default,core,12,4096,3.79
default,core,12,8192,5.71
default,core,12,16384,12.51
default,core,12,32768,20.69
default,core,12,65536,40.62
default,core,12,131072,80.18
default,core,12,262144,154.60
default,core,12,524288,315.46
default,core,12,1048576,622.24
default,core,13,1,1.06
default,core,13,2,1.08
default,core,13,4,1.06
default,core,13,8,1.16
default,core,13,16,1.10
default,core,13,32,1.25
default,core,13,64,1.06
default,core,13,128,1.61
default,core,13,256,1.60
default,core,13,512,1.65
default,core,13,1024,2.10
default,core,13,2048,2.83
default,core,13,4096,4.07
