Algorithm, Allocation, Processes, MessageSize, Latency
${algorithm},core,2,1,0.27
${algorithm},core,2,2,0.26
${algorithm},core,2,4,0.26
${algorithm},core,2,8,0.26
${algorithm},core,2,16,0.27
${algorithm},core,2,32,0.31
${algorithm},core,2,64,0.33
${algorithm},core,2,128,0.41
${algorithm},core,2,256,0.43
${algorithm},core,2,512,0.47
${algorithm},core,2,1024,0.52
${algorithm},core,2,2048,0.65
${algorithm},core,2,4096,1.01
${algorithm},core,2,8192,1.60
${algorithm},core,2,16384,3.84
${algorithm},core,2,32768,6.74
${algorithm},core,2,65536,7.96
${algorithm},core,2,131072,10.45
${algorithm},core,2,262144,18.01
${algorithm},core,2,524288,40.53
${algorithm},core,2,1048576,81.37
${algorithm},core,3,1,0.54
${algorithm},core,3,2,0.50
${algorithm},core,3,4,0.50
${algorithm},core,3,8,0.50
${algorithm},core,3,16,0.49
${algorithm},core,3,32,0.42
${algorithm},core,3,64,0.42
${algorithm},core,3,128,0.54
${algorithm},core,3,256,0.78
${algorithm},core,3,512,0.59
${algorithm},core,3,1024,0.75
${algorithm},core,3,2048,0.94
${algorithm},core,3,4096,1.41
${algorithm},core,3,8192,2.12
${algorithm},core,3,16384,4.76
${algorithm},core,3,32768,7.81
${algorithm},core,3,65536,11.74
${algorithm},core,3,131072,25.62
${algorithm},core,3,262144,32.42
${algorithm},core,3,524288,62.81
${algorithm},core,3,1048576,125.19
${algorithm},core,4,1,0.33
${algorithm},core,4,2,0.32
${algorithm},core,4,4,0.33
${algorithm},core,4,8,0.33
${algorithm},core,4,16,0.33
${algorithm},core,4,32,0.39
${algorithm},core,4,64,0.39
${algorithm},core,4,128,0.58
${algorithm},core,4,256,0.57
${algorithm},core,4,512,0.62
${algorithm},core,4,1024,0.83
${algorithm},core,4,2048,1.12
${algorithm},core,4,4096,1.74
${algorithm},core,4,8192,2.54
${algorithm},core,4,16384,5.63
${algorithm},core,4,32768,8.84
${algorithm},core,4,65536,14.50
${algorithm},core,4,131072,26.04
${algorithm},core,4,262144,51.80
${algorithm},core,4,524288,106.96
${algorithm},core,4,1048576,232.72
${algorithm},core,5,1,0.42
${algorithm},core,5,2,0.42
${algorithm},core,5,4,0.42
${algorithm},core,5,8,0.42
${algorithm},core,5,16,0.42
${algorithm},core,5,32,0.50
${algorithm},core,5,64,0.39
${algorithm},core,5,128,0.71
${algorithm},core,5,256,0.73
${algorithm},core,5,512,0.80
${algorithm},core,5,1024,1.03
${algorithm},core,5,2048,1.26
${algorithm},core,5,4096,1.93
${algorithm},core,5,8192,2.99
${algorithm},core,5,16384,5.85
${algorithm},core,5,32768,10.11
${algorithm},core,5,65536,19.27
${algorithm},core,5,131072,37.35
${algorithm},core,5,262144,73.57
${algorithm},core,5,524288,144.71
${algorithm},core,5,1048576,338.00
${algorithm},core,6,1,0.51
${algorithm},core,6,2,0.51
${algorithm},core,6,4,0.50
${algorithm},core,6,8,0.50
${algorithm},core,6,16,0.50
${algorithm},core,6,32,0.59
${algorithm},core,6,64,0.53
${algorithm},core,6,128,0.83
${algorithm},core,6,256,0.88
${algorithm},core,6,512,0.93
${algorithm},core,6,1024,1.20
${algorithm},core,6,2048,1.56
${algorithm},core,6,4096,2.34
${algorithm},core,6,8192,3.53
${algorithm},core,6,16384,6.83
${algorithm},core,6,32768,11.70
${algorithm},core,6,65536,22.24
${algorithm},core,6,131072,43.41
${algorithm},core,6,262144,85.47
${algorithm},core,6,524288,168.07
${algorithm},core,6,1048576,407.47
${algorithm},core,7,1,0.59
${algorithm},core,7,2,0.60
${algorithm},core,7,4,0.60
${algorithm},core,7,8,0.60
${algorithm},core,7,16,0.60
${algorithm},core,7,32,0.72
${algorithm},core,7,64,0.65
${algorithm},core,7,128,1.01
${algorithm},core,7,256,1.03
${algorithm},core,7,512,1.11
${algorithm},core,7,1024,1.37
${algorithm},core,7,2048,1.75
${algorithm},core,7,4096,2.57
${algorithm},core,7,8192,4.00
${algorithm},core,7,16384,7.59
${algorithm},core,7,32768,13.19
${algorithm},core,7,65536,25.43
${algorithm},core,7,131072,50.36
${algorithm},core,7,262144,100.22
${algorithm},core,7,524288,198.58
${algorithm},core,7,1048576,477.13
${algorithm},core,8,1,0.65
${algorithm},core,8,2,0.67
${algorithm},core,8,4,0.67
${algorithm},core,8,8,0.81
${algorithm},core,8,16,0.77
${algorithm},core,8,32,0.94
${algorithm},core,8,64,0.83
${algorithm},core,8,128,1.21
${algorithm},core,8,256,1.21
${algorithm},core,8,512,1.29
${algorithm},core,8,1024,1.57
${algorithm},core,8,2048,2.13
${algorithm},core,8,4096,3.06
${algorithm},core,8,8192,4.62
${algorithm},core,8,16384,10.73
${algorithm},core,8,32768,15.06
${algorithm},core,8,65536,29.29
${algorithm},core,8,131072,57.91
${algorithm},core,8,262144,115.36
${algorithm},core,8,524288,224.84
${algorithm},core,8,1048576,433.57
${algorithm},core,9,1,1.04
${algorithm},core,9,2,1.03
${algorithm},core,9,4,1.01
${algorithm},core,9,8,1.05
${algorithm},core,9,16,1.01
${algorithm},core,9,32,1.05
${algorithm},core,9,64,1.11
${algorithm},core,9,128,1.44
${algorithm},core,9,256,1.50
${algorithm},core,9,512,1.55
${algorithm},core,9,1024,1.90
${algorithm},core,9,2048,2.41
${algorithm},core,9,4096,3.28
${algorithm},core,9,8192,4.90
${algorithm},core,9,16384,10.78
${algorithm},core,9,32768,16.46
${algorithm},core,9,65536,26.22
${algorithm},core,9,131072,45.73
${algorithm},core,9,262144,98.97
${algorithm},core,9,524288,223.03
${algorithm},core,9,1048576,420.01
${algorithm},core,10,1,0.85
${algorithm},core,10,2,0.86
${algorithm},core,10,4,0.85
${algorithm},core,10,8,0.90
${algorithm},core,10,16,0.90
${algorithm},core,10,32,1.06
${algorithm},core,10,64,0.92
${algorithm},core,10,128,1.39
${algorithm},core,10,256,1.43
${algorithm},core,10,512,1.46
${algorithm},core,10,1024,1.79
${algorithm},core,10,2048,2.36
${algorithm},core,10,4096,3.47
${algorithm},core,10,8192,5.20
${algorithm},core,10,16384,11.27
${algorithm},core,10,32768,18.14
${algorithm},core,10,65536,35.21
${algorithm},core,10,131072,70.39
${algorithm},core,10,262144,137.86
${algorithm},core,10,524288,280.17
${algorithm},core,10,1048576,552.50
${algorithm},core,11,1,0.78
${algorithm},core,11,2,0.80
${algorithm},core,11,4,0.78
${algorithm},core,11,8,0.99
${algorithm},core,11,16,0.99
${algorithm},core,11,32,1.17
${algorithm},core,11,64,0.87
${algorithm},core,11,128,1.24
${algorithm},core,11,256,1.25
${algorithm},core,11,512,1.27
${algorithm},core,11,1024,1.61
${algorithm},core,11,2048,2.17
${algorithm},core,11,4096,3.70
${algorithm},core,11,8192,5.56
${algorithm},core,11,16384,11.67
${algorithm},core,11,32768,19.74
${algorithm},core,11,65536,38.78
${algorithm},core,11,131072,77.06
${algorithm},core,11,262144,148.00
${algorithm},core,11,524288,267.43
${algorithm},core,11,1048576,538.47
${algorithm},core,12,1,0.79
${algorithm},core,12,2,0.78
${algorithm},core,12,4,0.78
${algorithm},core,12,8,1.06
${algorithm},core,12,16,1.02
${algorithm},core,12,32,1.17
${algorithm},core,12,64,0.86
${algorithm},core,12,128,1.28
${algorithm},core,12,256,1.30
${algorithm},core,12,512,1.35
${algorithm},core,12,1024,1.76
${algorithm},core,12,2048,2.36
${algorithm},core,12,4096,3.77
${algorithm},core,12,8192,5.84
${algorithm},core,12,16384,12.42
${algorithm},core,12,32768,21.17
${algorithm},core,12,65536,41.97
${algorithm},core,12,131072,83.78
${algorithm},core,12,262144,163.45
${algorithm},core,12,524288,333.18
${algorithm},core,12,1048576,642.70
${algorithm},core,13,1,0.97
${algorithm},core,13,2,1.00
${algorithm},core,13,4,1.00
${algorithm},core,13,8,1.05
${algorithm},core,13,16,1.05
${algorithm},core,13,32,1.26
${algorithm},core,13,64,1.03
${algorithm},core,13,128,1.60
${algorithm},core,13,256,1.61
${algorithm},core,13,512,1.65
${algorithm},core,13,1024,2.09
${algorithm},core,13,2048,2.81
${algorithm},core,13,4096,4.14
${algorithm},core,13,8192,6.37
${algorithm},core,13,16384,13.80
${algorithm},core,13,32768,26.42
${algorithm},core,13,65536,53.55
${algorithm},core,13,131072,105.45
${algorithm},core,13,262144,205.98
${algorithm},core,13,524288,412.60
${algorithm},core,13,1048576,770.85
${algorithm},core,14,1,1.62
${algorithm},core,14,2,1.66
${algorithm},core,14,4,1.54
${algorithm},core,14,8,1.37
${algorithm},core,14,16,1.24
${algorithm},core,14,32,1.35
${algorithm},core,14,64,1.13
${algorithm},core,14,128,1.57
${algorithm},core,14,256,1.56
${algorithm},core,14,512,1.60
${algorithm},core,14,1024,2.03
${algorithm},core,14,2048,2.79
${algorithm},core,14,4096,4.28
${algorithm},core,14,8192,6.63
${algorithm},core,14,16384,14.42
${algorithm},core,14,32768,29.56
${algorithm},core,14,65536,60.57
${algorithm},core,14,131072,121.08
${algorithm},core,14,262144,239.74
${algorithm},core,14,524288,487.53
${algorithm},core,14,1048576,893.29
${algorithm},core,15,1,1.08
${algorithm},core,15,2,0.95
${algorithm},core,15,4,0.95
${algorithm},core,15,8,1.12
${algorithm},core,15,16,1.05
${algorithm},core,15,32,1.21
${algorithm},core,15,64,0.95
${algorithm},core,15,128,1.47
${algorithm},core,15,256,1.49
${algorithm},core,15,512,1.61
${algorithm},core,15,1024,2.08
${algorithm},core,15,2048,2.87
${algorithm},core,15,4096,4.56
${algorithm},core,15,8192,7.09
${algorithm},core,15,16384,15.02
${algorithm},core,15,32768,32.56
${algorithm},core,15,65536,66.97
${algorithm},core,15,131072,135.21
${algorithm},core,15,262144,272.08
${algorithm},core,15,524288,547.36
${algorithm},core,15,1048576,1006.43
${algorithm},core,16,1,0.97
${algorithm},core,16,2,1.45
${algorithm},core,16,4,1.31
${algorithm},core,16,8,1.32
${algorithm},core,16,16,1.34
${algorithm},core,16,32,1.51
${algorithm},core,16,64,1.43
${algorithm},core,16,128,2.25
${algorithm},core,16,256,2.29
${algorithm},core,16,512,2.41
${algorithm},core,16,1024,2.87
${algorithm},core,16,2048,3.70
${algorithm},core,16,4096,4.68
${algorithm},core,16,8192,7.06
${algorithm},core,16,16384,16.41
${algorithm},core,16,32768,28.56
${algorithm},core,16,65536,52.51
${algorithm},core,16,131072,101.87
${algorithm},core,16,262144,199.04
${algorithm},core,16,524288,388.19
${algorithm},core,16,1048576,493.19
${algorithm},core,17,1,2.75
${algorithm},core,17,2,2.62
${algorithm},core,17,4,2.54
${algorithm},core,17,8,2.49
${algorithm},core,17,16,2.43
${algorithm},core,17,32,2.62
${algorithm},core,17,64,2.56
${algorithm},core,17,128,3.78
${algorithm},core,17,256,3.87
${algorithm},core,17,512,4.01
${algorithm},core,17,1024,4.77
${algorithm},core,17,2048,5.96
${algorithm},core,17,4096,5.95
${algorithm},core,17,8192,8.38
${algorithm},core,17,16384,19.11
${algorithm},core,17,32768,32.13
${algorithm},core,17,65536,68.55
${algorithm},core,17,131072,122.26
${algorithm},core,17,262144,235.79
${algorithm},core,17,524288,446.25
${algorithm},core,17,1048576,835.42
${algorithm},core,18,1,3.20
${algorithm},core,18,2,3.12
${algorithm},core,18,4,2.86
${algorithm},core,18,8,2.66
${algorithm},core,18,16,2.51
${algorithm},core,18,32,2.66
${algorithm},core,18,64,2.55
${algorithm},core,18,128,3.72
${algorithm},core,18,256,3.73
${algorithm},core,18,512,3.89
${algorithm},core,18,1024,4.63
${algorithm},core,18,2048,5.80
${algorithm},core,18,4096,6.09
${algorithm},core,18,8192,8.73
${algorithm},core,18,16384,21.03
${algorithm},core,18,32768,35.19
${algorithm},core,18,65536,72.45
${algorithm},core,18,131072,129.67
${algorithm},core,18,262144,254.76
${algorithm},core,18,524288,511.07
${algorithm},core,18,1048576,861.58
${algorithm},core,19,1,2.13
${algorithm},core,19,2,2.25
${algorithm},core,19,4,2.23
${algorithm},core,19,8,2.21
${algorithm},core,19,16,2.17
${algorithm},core,19,32,2.39
${algorithm},core,19,64,2.31
${algorithm},core,19,128,3.52
${algorithm},core,19,256,3.61
${algorithm},core,19,512,3.77
${algorithm},core,19,1024,4.53
${algorithm},core,19,2048,5.67
${algorithm},core,19,4096,6.20
${algorithm},core,19,8192,8.98
${algorithm},core,19,16384,22.09
${algorithm},core,19,32768,37.93
${algorithm},core,19,65536,76.64
${algorithm},core,19,131072,142.78
${algorithm},core,19,262144,269.51
${algorithm},core,19,524288,516.37
${algorithm},core,19,1048576,859.27
${algorithm},core,20,1,2.49
${algorithm},core,20,2,2.63
${algorithm},core,20,4,2.51
${algorithm},core,20,8,2.31
${algorithm},core,20,16,2.22
${algorithm},core,20,32,2.35
${algorithm},core,20,64,2.25
${algorithm},core,20,128,3.47
${algorithm},core,20,256,3.54
${algorithm},core,20,512,3.76
${algorithm},core,20,1024,4.43
${algorithm},core,20,2048,5.58
${algorithm},core,20,4096,6.20
${algorithm},core,20,8192,9.29
${algorithm},core,20,16384,23.29
${algorithm},core,20,32768,40.13
${algorithm},core,20,65536,78.62
${algorithm},core,20,131072,152.69
${algorithm},core,20,262144,292.93
${algorithm},core,20,524288,573.37
${algorithm},core,20,1048576,858.69
${algorithm},core,21,1,2.87
${algorithm},core,21,2,2.63
${algorithm},core,21,4,2.42
${algorithm},core,21,8,2.32
${algorithm},core,21,16,2.22
${algorithm},core,21,32,2.42
${algorithm},core,21,64,2.34
${algorithm},core,21,128,3.41
${algorithm},core,21,256,3.52
${algorithm},core,21,512,3.69
${algorithm},core,21,1024,4.44
${algorithm},core,21,2048,5.57
${algorithm},core,21,4096,6.31
${algorithm},core,21,8192,9.31
${algorithm},core,21,16384,23.78
${algorithm},core,21,32768,40.66
${algorithm},core,21,65536,78.61
${algorithm},core,21,131072,149.79
${algorithm},core,21,262144,293.81
${algorithm},core,21,524288,585.82
${algorithm},core,21,1048576,868.06
${algorithm},core,22,1,2.33
${algorithm},core,22,2,2.08
${algorithm},core,22,4,2.10
${algorithm},core,22,8,2.00
${algorithm},core,22,16,1.96
${algorithm},core,22,32,2.19
${algorithm},core,22,64,2.14
${algorithm},core,22,128,3.26
${algorithm},core,22,256,3.36
${algorithm},core,22,512,3.55
${algorithm},core,22,1024,4.28
${algorithm},core,22,2048,5.44
${algorithm},core,22,4096,6.51
${algorithm},core,22,8192,9.62
${algorithm},core,22,16384,23.21
${algorithm},core,22,32768,40.45
${algorithm},core,22,65536,77.70
${algorithm},core,22,131072,150.65
${algorithm},core,22,262144,296.47
${algorithm},core,22,524288,582.35
${algorithm},core,22,1048576,816.92
${algorithm},core,23,1,2.26
${algorithm},core,23,2,2.21
${algorithm},core,23,4,2.14
${algorithm},core,23,8,1.98
${algorithm},core,23,16,1.89
${algorithm},core,23,32,2.11
${algorithm},core,23,64,2.01
${algorithm},core,23,128,3.18
${algorithm},core,23,256,3.27
${algorithm},core,23,512,3.49
${algorithm},core,23,1024,4.30
${algorithm},core,23,2048,5.36
${algorithm},core,23,4096,6.66
${algorithm},core,23,8192,9.94
${algorithm},core,23,16384,23.55
${algorithm},core,23,32768,43.02
${algorithm},core,23,65536,78.66
${algorithm},core,23,131072,154.14
${algorithm},core,23,262144,299.87
${algorithm},core,23,524288,570.77
${algorithm},core,23,1048576,838.19
${algorithm},core,24,1,1.72
${algorithm},core,24,2,2.09
${algorithm},core,24,4,1.96
${algorithm},core,24,8,1.92
${algorithm},core,24,16,1.88
${algorithm},core,24,32,2.12
${algorithm},core,24,64,2.12
${algorithm},core,24,128,3.12
${algorithm},core,24,256,3.22
${algorithm},core,24,512,3.41
${algorithm},core,24,1024,4.12
${algorithm},core,24,2048,5.35
${algorithm},core,24,4096,6.97
${algorithm},core,24,8192,10.33
${algorithm},core,24,16384,24.89
${algorithm},core,24,32768,42.27
${algorithm},core,24,65536,81.00
${algorithm},core,24,131072,156.22
${algorithm},core,24,262144,303.73
${algorithm},core,24,524288,586.43
${algorithm},core,24,1048576,816.60
${algorithm},core,25,1,1.62
${algorithm},core,25,2,1.65
${algorithm},core,25,4,1.60
${algorithm},core,25,8,1.56
${algorithm},core,25,16,1.49
${algorithm},core,25,32,1.86
${algorithm},core,25,64,1.77
${algorithm},core,25,128,2.74
${algorithm},core,25,256,2.78
${algorithm},core,25,512,2.99
${algorithm},core,25,1024,3.95
${algorithm},core,25,2048,5.09
${algorithm},core,25,4096,6.93
${algorithm},core,25,8192,10.33
${algorithm},core,25,16384,25.38
${algorithm},core,25,32768,41.18
${algorithm},core,25,65536,79.07
${algorithm},core,25,131072,152.13
${algorithm},core,25,262144,297.81
${algorithm},core,25,524288,595.98
${algorithm},core,25,1048576,762.14
${algorithm},core,26,1,1.53
${algorithm},core,26,2,1.50
${algorithm},core,26,4,1.49
${algorithm},core,26,8,1.49
${algorithm},core,26,16,1.49
${algorithm},core,26,32,1.81
${algorithm},core,26,64,1.82
${algorithm},core,26,128,2.66
