CPU_Pair,MessageSize,Latency
0,1,1,0.19
0,1,2,0.19
0,1,4,0.19
0,1,8,0.19
0,1,16,0.19
0,1,32,0.24
0,1,64,0.24
0,1,128,0.34
0,1,256,0.38
0,1,512,0.44
0,1,1024,0.57
0,1,2048,0.92
0,1,4096,1.22
0,1,8192,2.08
0,1,16384,3.22
0,1,32768,5.12
0,1,65536,8.92
0,1,131072,15.73
0,1,262144,16.68
0,1,524288,29.46
0,1,1048576,59.77
0,1,2097152,155.04
0,1,4194304,331.27
0,2,1,0.19
0,2,2,0.19
0,2,4,0.19
0,2,8,0.19
0,2,16,0.19
0,2,32,0.25
0,2,64,0.24
0,2,128,0.33
0,2,256,0.36
0,2,512,0.44
0,2,1024,0.55
0,2,2048,0.76
0,2,4096,1.21
0,2,8192,2.06
0,2,16384,3.19
0,2,32768,5.05
0,2,65536,8.65
0,2,131072,15.48
0,2,262144,16.63
0,2,524288,29.10
0,2,1048576,59.85
0,2,2097152,155.40
0,2,4194304,326.61
0,3,1,0.20
0,3,2,0.19
0,3,4,0.20
0,3,8,0.19
0,3,16,0.19
0,3,32,0.25
0,3,64,0.25
0,3,128,0.33
0,3,256,0.37
0,3,512,0.44
0,3,1024,0.55
0,3,2048,0.75
0,3,4096,1.21
0,3,8192,2.05
0,3,16384,3.12
0,3,32768,5.08
0,3,65536,8.39
0,3,131072,14.95
0,3,262144,16.39
0,3,524288,28.69
0,3,1048576,59.52
0,3,2097152,153.25
0,3,4194304,328.37
0,4,1,0.23
0,4,2,0.23
0,4,4,0.19
0,4,8,0.19
0,4,16,0.19
0,4,32,0.24
0,4,64,0.23
0,4,128,0.34
0,4,256,0.37
0,4,512,0.43
0,4,1024,0.55
0,4,2048,0.75
0,4,4096,1.21
0,4,8192,2.03
0,4,16384,3.12
0,4,32768,4.96
0,4,65536,8.56
0,4,131072,15.05
0,4,262144,16.37
0,4,524288,29.11
0,4,1048576,60.46
0,4,2097152,156.90
0,4,4194304,329.45
0,5,1,0.19
0,5,2,0.18
0,5,4,0.18
0,5,8,0.18
0,5,16,0.18
0,5,32,0.23
0,5,64,0.23
0,5,128,0.34
0,5,256,0.37
0,5,512,0.44
0,5,1024,0.56
0,5,2048,0.76
0,5,4096,1.22
0,5,8192,2.06
0,5,16384,3.15
0,5,32768,4.95
0,5,65536,8.35
0,5,131072,14.89
