CPU_Pair,MessageSize,Latency
0,2,1,0.19
0,2,2,0.19
0,2,4,0.19
0,2,8,0.19
0,2,16,0.19
0,2,32,0.24
0,2,64,0.24
0,2,128,0.33
0,2,256,0.37
0,2,512,0.44
0,2,1024,0.54
0,2,2048,0.75
0,2,4096,1.21
0,2,8192,2.04
0,2,16384,3.15
0,2,32768,4.97
0,2,65536,8.40
0,2,131072,14.95
0,2,262144,16.22
0,2,524288,30.01
0,2,1048576,61.65
0,2,2097152,155.70
0,2,4194304,356.84
0,3,1,0.18
0,3,2,0.19
0,3,4,0.18
0,3,8,0.19
0,3,16,0.18
0,3,32,0.24
0,3,64,0.23
0,3,128,0.32
0,3,256,0.35
0,3,512,0.42
0,3,1024,0.55
0,3,2048,0.76
0,3,4096,1.20
0,3,8192,2.04
0,3,16384,3.14
0,3,32768,4.95
0,3,65536,8.38
0,3,131072,14.91
0,3,262144,15.96
0,3,524288,29.84
0,3,1048576,61.65
0,3,2097152,156.80
0,3,4194304,346.49
0,4,1,0.19
0,4,2,0.19
0,4,4,0.19
0,4,8,0.20
0,4,16,0.19
0,4,32,0.26
0,4,64,0.24
0,4,128,0.33
0,4,256,0.36
0,4,512,0.43
0,4,1024,0.54
0,4,2048,0.75
0,4,4096,1.22
0,4,8192,2.03
0,4,16384,3.11
0,4,32768,4.93
0,4,65536,8.30
0,4,131072,14.81
0,4,262144,15.93
0,4,524288,29.31
0,4,1048576,60.56
0,4,2097152,155.72
0,4,4194304,339.65
0,5,1,0.19
0,5,2,0.18
0,5,4,0.18
0,5,8,0.18
0,5,16,0.18
0,5,32,0.23
0,5,64,0.23
0,5,128,0.33
0,5,256,0.37
0,5,512,0.44
0,5,1024,0.55
0,5,2048,0.76
0,5,4096,1.21
0,5,8192,2.11
0,5,16384,3.16
0,5,32768,5.01
0,5,65536,8.50
0,5,131072,15.14
0,5,262144,16.08
0,5,524288,29.14
0,5,1048576,60.63
0,5,2097152,154.34
0,5,4194304,334.74
0,6,1,0.18
0,6,2,0.19
0,6,4,0.18
0,6,8,0.19
0,6,16,0.18
0,6,32,0.24
0,6,64,0.24
0,6,128,0.33
0,6,256,0.37
0,6,512,0.44
0,6,1024,0.55
0,6,2048,0.75
0,6,4096,1.21
0,6,8192,2.05
0,6,16384,3.15
0,6,32768,4.99
0,6,65536,8.40
0,6,131072,14.98
0,6,262144,16.04
0,6,524288,29.91
0,6,1048576,61.92
0,6,2097152,157.83
0,6,4194304,342.61
0,7,1,0.19
0,7,2,0.18
0,7,4,0.19
0,7,8,0.19
0,7,16,0.18
0,7,32,0.24
0,7,64,0.23
0,7,128,0.34
0,7,256,0.38
0,7,512,0.44
0,7,1024,0.56
0,7,2048,0.76
0,7,4096,1.22
0,7,8192,2.05
0,7,16384,3.15
0,7,32768,4.99
0,7,65536,8.45
0,7,131072,15.06
0,7,262144,16.16
0,7,524288,30.23
0,7,1048576,63.11
0,7,2097152,157.60
0,7,4194304,341.73
0,8,1,0.19
0,8,2,0.19
0,8,4,0.19
0,8,8,0.19
0,8,16,0.19
0,8,32,0.24
0,8,64,0.23
0,8,128,0.33
0,8,256,0.36
0,8,512,0.43
0,8,1024,0.54
0,8,2048,0.74
0,8,4096,1.20
0,8,8192,2.03
0,8,16384,3.13
0,8,32768,4.95
0,8,65536,8.34
0,8,131072,14.81
0,8,262144,16.10
0,8,524288,29.08
0,8,1048576,60.24
0,8,2097152,156.23
0,8,4194304,336.94
0,9,1,0.19
0,9,2,0.19
0,9,4,0.19
0,9,8,0.20
0,9,16,0.19
0,9,32,0.24
0,9,64,0.23
0,9,128,0.33
0,9,256,0.37
0,9,512,0.43
0,9,1024,0.55
0,9,2048,0.76
0,9,4096,1.21
0,9,8192,2.05
0,9,16384,3.15
0,9,32768,5.00
0,9,65536,8.41
0,9,131072,14.99
0,9,262144,16.11
0,9,524288,29.34
0,9,1048576,59.21
0,9,2097152,155.63
0,9,4194304,335.98
0,10,1,0.19
0,10,2,0.19
0,10,4,0.19
0,10,8,0.19
0,10,16,0.19
0,10,32,0.24
0,10,64,0.23
0,10,128,0.33
0,10,256,0.36
0,10,512,0.43
0,10,1024,0.54
0,10,2048,0.75
0,10,4096,1.20
0,10,8192,2.04
0,10,16384,3.12
0,10,32768,4.93
0,10,65536,8.30
0,10,131072,14.77
0,10,262144,15.98
0,10,524288,28.94
0,10,1048576,61.15
0,10,2097152,153.94
0,10,4194304,336.24
0,11,1,0.19
0,11,2,0.19
0,11,4,0.19
0,11,8,0.19
0,11,16,0.19
0,11,32,0.24
0,11,64,0.24
0,11,128,0.32
0,11,256,0.35
0,11,512,0.43
0,11,1024,0.54
0,11,2048,0.75
0,11,4096,1.20
0,11,8192,2.03
0,11,16384,3.14
0,11,32768,4.94
0,11,65536,8.31
0,11,131072,14.79
0,11,262144,15.95
0,11,524288,29.59
0,11,1048576,61.16
0,11,2097152,155.72
0,11,4194304,351.15
0,14,1,12153.46
0,14,2,12095.98
0,14,4,12160.48
0,14,8,12158.04
0,14,16,12160.48
0,14,32,12108.48
0,14,64,12105.48
0,14,128,12118.48
0,14,256,12096.98
0,14,512,12118.19
0,14,1024,12111.98
0,14,2048,12079.72
0,14,4096,12124.98
0,14,8192,12145.98
0,14,16384,12070.48
0,14,32768,12022.98
0,14,65536,11981.48
0,14,131072,11961.98
0,14,262144,11862.89
0,14,524288,11945.82
0,14,1048576,11918.47
0,14,2097152,11997.46
0,14,4194304,11913.43
0,15,1,12561.96
0,15,2,12462.48
0,15,4,12444.48
0,15,8,12544.98
0,15,16,12448.78
0,15,32,12525.48
0,15,64,12470.48
0,15,128,12442.04
0,15,256,12442.66
0,15,512,12512.48
0,15,1024,12381.48
0,15,2048,12502.04
0,15,4096,12450.98
0,15,8192,12525.48
0,15,16384,12509.24
0,15,32768,12415.98
0,15,65536,12538.50
0,15,131072,12586.98
0,15,262144,12381.48
0,15,524288,12538.47
0,15,1048576,12441.99
0,15,2097152,12414.46
0,15,4194304,12486.28
0,16,1,12420.47
0,16,2,12415.48
0,16,4,12434.98
0,16,8,12391.98
0,16,16,12374.98
0,16,32,12531.97
0,16,64,12461.98
0,16,128,12457.48
0,16,256,12487.72
0,16,512,12358.48
0,16,1024,12380.98
0,16,2048,12473.72
0,16,4096,12389.37
0,16,8192,12457.48
0,16,16384,12507.98
0,16,32768,12479.98
0,16,65536,12423.48
0,16,131072,12525.48
0,16,262144,12488.48
0,16,524288,12594.97
0,16,1048576,12418.47
0,16,2097152,12495.39
0,16,4194304,12087.95
0,17,1,12187.46
0,17,2,12169.46
0,17,4,12271.45
0,17,8,12133.48
0,17,16,12222.48
0,17,32,12285.48
0,17,64,12249.98
0,17,128,12283.98
0,17,256,12161.13
0,17,512,12216.69
0,17,1024,12185.48
0,17,2048,12148.98
0,17,4096,12216.49
0,17,8192,12219.98
0,17,16384,12180.24
0,17,32768,12249.98
0,17,65536,12183.98
0,17,131072,12159.04
0,17,262144,12271.48
0,17,524288,12262.97
0,17,1048576,12131.95
0,17,2097152,12264.45
0,17,4194304,12112.94
0,18,1,12438.97
0,18,2,12462.48
0,18,4,12423.48
0,18,8,12449.48
0,18,16,12394.69
0,18,32,12468.44
0,18,64,12451.98
0,18,128,12400.98
0,18,256,12462.98
0,18,512,12457.48
0,18,1024,12436.48
0,18,2048,12551.48
0,18,4096,12424.48
0,18,8192,12425.54
0,18,16384,12421.98
0,18,32768,12421.98
0,18,65536,12483.50
0,18,131072,12423.48
0,18,262144,12493.47
0,18,524288,12441.98
0,18,1048576,12437.96
0,18,2097152,12470.45
0,18,4194304,12417.95
0,19,1,12152.89
0,19,2,12179.98
0,19,4,12055.98
0,19,8,12147.30
0,19,16,12074.98
0,19,32,12222.13
0,19,64,12135.98
0,19,128,12192.99
0,19,256,12147.48
0,19,512,12156.04
0,19,1024,12093.98
0,19,2048,12143.10
0,19,4096,12029.48
0,19,8192,12099.89
0,19,16384,12109.98
0,19,32768,12041.48
0,19,65536,12080.50
0,19,131072,12041.98
0,19,262144,12046.98
0,19,524288,12023.48
0,19,1048576,12039.52
0,19,2097152,11936.70
0,19,4194304,12143.95
0,20,1,12471.89
0,20,2,12436.63
0,20,4,12440.98
0,20,8,12450.48
0,20,16,12544.34
0,20,32,12483.48
0,20,64,12491.48
0,20,128,12435.42
0,20,256,12463.98
0,20,512,12484.98
0,20,1024,12421.62
0,20,2048,12452.48
0,20,4096,12541.48
0,20,8192,12358.48
0,20,16384,12443.48
0,20,32768,12492.42
0,20,65536,12413.98
0,20,131072,12377.48
0,20,262144,12530.48
0,20,524288,12442.88
0,20,1048576,12425.78
0,20,2097152,12431.45
0,20,4194304,12401.34
0,21,1,12285.94
0,21,2,12235.98
0,21,4,12243.04
0,21,8,12250.48
0,21,16,12141.48
0,21,32,12315.42
0,21,64,12256.71
0,21,128,12235.98
0,21,256,12360.98
0,21,512,12223.98
0,21,1024,12245.98
0,21,2048,12342.48
0,21,4096,12180.98
0,21,8192,12183.98
0,21,16384,12203.98
0,21,32768,12183.48
0,21,65536,12235.48
0,21,131072,12360.31
0,21,262144,12249.98
0,21,524288,12206.46
0,21,1048576,12258.44
0,21,2097152,12174.19
0,21,4194304,12119.39
0,22,1,12215.94
0,22,2,12250.48
0,22,4,12221.51
0,22,8,12265.04
0,22,16,12310.21
0,22,32,12256.98
0,22,64,12209.48
0,22,128,12224.37
0,22,256,12283.98
0,22,512,12224.48
0,22,1024,12221.48
0,22,2048,12188.48
0,22,4096,12209.48
0,22,8192,12216.48
0,22,16384,12340.98
