CPU_Pair,MessageSize,Latency
0,5,262144,27.91
0,5,524288,49.78
0,5,1048576,93.72
0,5,2097152,181.60
0,5,4194304,353.81
0,6,1,1.01
0,6,2,1.01
0,6,4,1.01
0,6,8,1.01
0,6,16,1.04
0,6,32,1.04
0,6,64,1.18
0,6,128,1.22
0,6,256,2.54
0,6,512,1.53
0,6,1024,1.69
0,6,2048,2.40
0,6,4096,3.35
0,6,8192,4.75
0,6,16384,6.33
0,6,32768,8.43
0,6,65536,12.28
0,6,131072,18.52
0,6,262144,27.77
0,6,524288,49.83
0,6,1048576,93.61
0,6,2097152,181.68
0,6,4194304,354.10
0,7,1,1.01
0,7,2,1.01
0,7,4,1.01
0,7,8,1.01
0,7,16,1.03
0,7,32,1.04
0,7,64,1.18
0,7,128,1.22
0,7,256,1.46
0,7,512,1.54
0,7,1024,1.69
0,7,2048,2.40
0,7,4096,3.34
0,7,8192,4.75
0,7,16384,6.33
0,7,32768,8.44
0,7,65536,12.27
0,7,131072,18.53
0,7,262144,27.86
0,7,524288,49.68
0,7,1048576,93.73
0,7,2097152,181.68
0,7,4194304,353.85
0,8,1,1.01
0,8,2,1.01
0,8,4,1.01
0,8,8,1.02
0,8,16,1.03
0,8,32,1.04
0,8,64,1.18
0,8,128,1.22
0,8,256,2.50
0,8,512,1.53
0,8,1024,1.69
0,8,2048,2.42
0,8,4096,3.34
0,8,8192,4.76
0,8,16384,6.33
0,8,32768,8.52
0,8,65536,12.29
0,8,131072,18.54
0,8,262144,27.76
0,8,524288,49.72
0,8,1048576,93.63
0,8,2097152,181.71
0,8,4194304,353.86
0,9,1,1.02
0,9,2,1.01
0,9,4,1.01
0,9,8,1.02
0,9,16,1.02
0,9,32,1.05
0,9,64,1.18
0,9,128,1.22
0,9,256,2.49
0,9,512,1.53
0,9,1024,1.69
0,9,2048,2.41
0,9,4096,3.34
0,9,8192,4.76
0,9,16384,6.35
0,9,32768,8.42
0,9,65536,12.40
0,9,131072,18.53
0,9,262144,27.93
0,9,524288,49.70
0,9,1048576,93.72
0,9,2097152,181.55
0,9,4194304,353.99
0,10,1,1.02
0,10,2,1.01
0,10,4,1.01
0,10,8,1.03
0,10,16,1.03
0,10,32,1.05
0,10,64,1.18
0,10,128,1.22
0,10,256,1.45
0,10,512,2.58
0,10,1024,1.69
0,10,2048,2.41
0,10,4096,3.34
0,10,8192,4.77
0,10,16384,6.39
0,10,32768,8.43
0,10,65536,12.29
0,10,131072,18.53
0,10,262144,27.88
0,10,524288,49.71
0,10,1048576,93.73
0,10,2097152,181.67
0,10,4194304,353.61
0,11,1,1.01
0,11,2,1.01
0,11,4,1.01
0,11,8,1.02
0,11,16,1.03
0,11,32,1.05
0,11,64,1.18
0,11,128,1.22
0,11,256,1.45
0,11,512,2.57
0,11,1024,1.69
0,11,2048,2.41
0,11,4096,3.34
0,11,8192,4.76
0,11,16384,6.35
0,11,32768,8.43
0,11,65536,12.37
0,11,131072,18.52
0,11,262144,27.83
0,11,524288,49.72
0,11,1048576,93.74
0,11,2097152,182.12
0,11,4194304,354.08
0,12,1,1.01
0,12,2,1.01
0,12,4,1.01
0,12,8,1.03
0,12,16,1.03
0,12,32,1.04
0,12,64,1.18
0,12,128,1.22
0,12,256,2.49
0,12,512,1.53
0,12,1024,1.68
0,12,2048,2.40
0,12,4096,3.34
0,12,8192,4.76
0,12,16384,6.33
0,12,32768,8.42
0,12,65536,12.30
0,12,131072,18.55
0,12,262144,27.83
0,12,524288,49.52
0,12,1048576,93.44
0,12,2097152,181.50
0,12,4194304,353.76
0,13,1,1.01
0,13,2,1.00
0,13,4,1.01
0,13,8,1.02
0,13,16,1.03
0,13,32,1.05
0,13,64,1.18
0,13,128,1.22
0,13,256,2.50
0,13,512,1.53
0,13,1024,1.69
0,13,2048,2.41
0,13,4096,3.35
0,13,8192,4.75
0,13,16384,6.36
0,13,32768,8.41
0,13,65536,12.32
0,13,131072,18.53
0,13,262144,27.79
0,13,524288,49.75
0,13,1048576,93.71
0,13,2097152,181.68
0,13,4194304,353.85
0,14,1,1.01
0,14,2,1.01
0,14,4,1.01
0,14,8,1.02
0,14,16,1.03
0,14,32,1.04
0,14,64,1.18
0,14,128,1.22
0,14,256,2.54
0,14,512,1.53
0,14,1024,1.69
0,14,2048,2.40
0,14,4096,3.35
0,14,8192,4.76
0,14,16384,6.32
0,14,32768,8.41
0,14,65536,12.30
0,14,131072,18.52
0,14,262144,27.82
0,14,524288,49.63
0,14,1048576,93.65
0,14,2097152,181.84
0,14,4194304,354.09
0,15,1,1.01
0,15,2,1.01
0,15,4,1.04
0,15,8,1.02
0,15,16,1.10
0,15,32,1.05
0,15,64,1.18
0,15,128,1.22
0,15,256,2.55
0,15,512,1.65
0,15,1024,1.94
0,15,2048,2.40
0,15,4096,3.35
0,15,8192,4.77
0,15,16384,6.36
0,15,32768,8.40
0,15,65536,12.30
0,15,131072,18.53
0,15,262144,27.90
0,15,524288,49.75
0,15,1048576,93.60
0,15,2097152,181.76
0,15,4194304,354.12
0,16,1,1.01
0,16,2,1.01
0,16,4,1.01
0,16,8,1.02
0,16,16,1.02
0,16,32,1.04
0,16,64,1.18
0,16,128,1.22
0,16,256,1.46
0,16,512,1.53
0,16,1024,1.68
0,16,2048,2.40
0,16,4096,3.35
0,16,8192,4.75
0,16,16384,6.34
0,16,32768,8.41
0,16,65536,12.33
0,16,131072,18.52
0,16,262144,27.77
0,16,524288,49.60
0,16,1048576,93.60
0,16,2097152,181.69
0,16,4194304,353.87
0,17,1,1.01
0,17,2,1.01
0,17,4,1.01
0,17,8,1.01
0,17,16,1.04
0,17,32,1.05
0,17,64,1.18
0,17,128,1.22
0,17,256,2.51
0,17,512,1.54
0,17,1024,1.70
0,17,2048,2.41
0,17,4096,3.35
0,17,8192,4.77
0,17,16384,6.37
0,17,32768,8.43
0,17,65536,12.30
0,17,131072,18.51
0,17,262144,27.92
0,17,524288,49.93
0,17,1048576,93.56
0,17,2097152,181.81
0,17,4194304,353.69
0,18,1,1.00
0,18,2,1.00
0,18,4,1.00
0,18,8,1.01
0,18,16,1.02
0,18,32,1.04
0,18,64,1.18
0,18,128,1.21
0,18,256,2.48
0,18,512,1.53
0,18,1024,1.68
0,18,2048,2.41
0,18,4096,3.34
0,18,8192,4.76
0,18,16384,6.34
0,18,32768,8.42
0,18,65536,12.30
0,18,131072,18.52
0,18,262144,27.88
0,18,524288,49.72
0,18,1048576,93.76
0,18,2097152,182.03
0,18,4194304,354.63
0,19,1,1.01
0,19,2,1.01
0,19,4,1.01
0,19,8,1.02
0,19,16,1.03
0,19,32,1.05
0,19,64,1.18
0,19,128,1.23
0,19,256,2.54
0,19,512,1.53
0,19,1024,1.68
0,19,2048,2.40
0,19,4096,3.36
0,19,8192,4.77
0,19,16384,6.44
0,19,32768,8.42
0,19,65536,12.29
0,19,131072,18.51
0,19,262144,27.84
0,19,524288,49.74
0,19,1048576,93.76
0,19,2097152,182.10
0,19,4194304,353.99
0,20,1,1.01
0,20,2,1.01
0,20,4,1.01
0,20,8,1.02
0,20,16,1.03
0,20,32,1.04
0,20,64,1.18
0,20,128,1.22
0,20,256,2.49
0,20,512,1.53
0,20,1024,1.69
0,20,2048,2.41
0,20,4096,3.47
0,20,8192,4.76
0,20,16384,6.33
0,20,32768,8.41
0,20,65536,12.29
0,20,131072,18.51
0,20,262144,27.74
0,20,524288,49.65
0,20,1048576,93.65
0,20,2097152,181.47
0,20,4194304,354.01
0,21,1,1.01
0,21,2,1.01
0,21,4,1.01
0,21,8,1.02
0,21,16,1.03
0,21,32,1.05
0,21,64,1.18
0,21,128,1.24
0,21,256,2.50
0,21,512,1.53
0,21,1024,1.69
0,21,2048,2.41
0,21,4096,3.34
0,21,8192,4.76
0,21,16384,6.36
0,21,32768,8.45
0,21,65536,12.29
0,21,131072,18.52
0,21,262144,27.79
0,21,524288,49.59
0,21,1048576,93.64
0,21,2097152,181.46
0,21,4194304,354.03
0,22,1,1.01
0,22,2,1.00
0,22,4,1.01
0,22,8,1.01
0,22,16,1.02
0,22,32,1.04
0,22,64,1.18
0,22,128,1.22
0,22,256,2.56
0,22,512,1.53
0,22,1024,1.69
0,22,2048,2.41
0,22,4096,3.34
0,22,8192,4.76
0,22,16384,6.35
0,22,32768,8.43
0,22,65536,12.30
0,22,131072,18.51
0,22,262144,27.82
0,22,524288,49.54
0,22,1048576,93.34
0,22,2097152,181.45
0,22,4194304,354.07
0,23,1,1.01
0,23,2,1.01
0,23,4,1.01
0,23,8,1.01
0,23,16,1.04
0,23,32,1.05
0,23,64,1.18
0,23,128,1.22
0,23,256,2.55
0,23,512,1.54
0,23,1024,1.69
0,23,2048,2.41
0,23,4096,3.36
0,23,8192,4.75
0,23,16384,6.35
0,23,32768,8.45
0,23,65536,12.36
0,23,131072,18.53
0,23,262144,27.84
0,23,524288,49.77
0,23,1048576,93.66
0,23,2097152,181.74
0,23,4194304,353.88
0,24,1,1.01
0,24,2,1.00
0,24,4,1.01
0,24,8,1.01
0,24,16,1.03
0,24,32,1.04
0,24,64,1.18
0,24,128,1.22
0,24,256,2.49
0,24,512,1.53
0,24,1024,1.69
0,24,2048,2.41
0,24,4096,3.35
0,24,8192,4.74
0,24,16384,6.34
0,24,32768,8.41
0,24,65536,12.43
0,24,131072,18.52
0,24,262144,27.76
0,24,524288,49.59
0,24,1048576,93.67
0,24,2097152,181.51
0,24,4194304,353.72
0,25,1,1.01
0,25,2,1.01
0,25,4,1.01
0,25,8,1.01
0,25,16,1.03
0,25,32,1.05
0,25,64,1.18
0,25,128,1.22
0,25,256,2.55
0,25,512,1.53
0,25,1024,1.69
0,25,2048,2.40
0,25,4096,3.34
0,25,8192,4.75
0,25,16384,6.34
0,25,32768,8.42
0,25,65536,12.28
0,25,131072,18.52
0,25,262144,27.87
0,25,524288,49.72
0,25,1048576,93.66
0,25,2097152,181.57
0,25,4194304,353.87
0,26,1,1.01
0,26,2,1.01
0,26,4,1.04
0,26,8,1.02
0,26,16,1.03
0,26,32,1.05
0,26,64,1.18
0,26,128,1.22
0,26,256,2.50
0,26,512,1.53
0,26,1024,1.68
0,26,2048,2.40
0,26,4096,3.34
0,26,8192,4.76
0,26,16384,6.36
0,26,32768,8.45
0,26,65536,12.29
0,26,131072,18.60
0,26,262144,27.80
0,26,524288,49.74
0,26,1048576,93.81
0,26,2097152,182.07
0,26,4194304,354.14
0,27,1,1.01
0,27,2,1.00
0,27,4,1.01
0,27,8,1.01
0,27,16,1.03
0,27,32,1.04
0,27,64,1.18
0,27,128,1.22
0,27,256,2.49
0,27,512,1.53
0,27,1024,1.69
0,27,2048,2.40
0,27,4096,3.34
0,27,8192,4.77
0,27,16384,6.34
0,27,32768,8.43
0,27,65536,12.29
0,27,131072,18.56
0,27,262144,27.84
0,27,524288,49.69
0,27,1048576,93.76
0,27,2097152,181.94
0,27,4194304,354.33
0,28,1,1.01
0,28,2,1.01
0,28,4,1.01
0,28,8,1.01
0,28,16,1.02
0,28,32,1.04
0,28,64,1.18
0,28,128,1.22
0,28,256,1.45
0,28,512,1.53
0,28,1024,1.70
0,28,2048,2.39
0,28,4096,3.35
0,28,8192,4.76
0,28,16384,6.36
0,28,32768,8.43
0,28,65536,12.30
0,28,131072,18.52
0,28,262144,27.86
0,28,524288,49.71
0,28,1048576,93.66
0,28,2097152,181.69
0,28,4194304,353.76
0,29,1,1.01
0,29,2,1.01
0,29,4,1.01
0,29,8,1.01
0,29,16,1.03
0,29,32,1.04
0,29,64,1.18
0,29,128,1.22
0,29,256,2.54
0,29,512,1.53
0,29,1024,1.69
0,29,2048,2.41
0,29,4096,3.35
0,29,8192,4.76
0,29,16384,6.35
0,29,32768,8.42
0,29,65536,12.26
0,29,131072,18.52
0,29,262144,27.82
0,29,524288,49.63
0,29,1048576,93.71
0,29,2097152,181.89
0,29,4194304,353.85
0,30,1,1.01
0,30,2,1.00
0,30,4,1.01
0,30,8,1.02
0,30,16,1.03
0,30,32,1.05
0,30,64,1.18
0,30,128,1.22
0,30,256,2.49
0,30,512,1.53
0,30,1024,1.69
0,30,2048,2.41
0,30,4096,3.35
0,30,8192,4.77
0,30,16384,6.35
0,30,32768,8.42
0,30,65536,12.30
0,30,131072,18.53
0,30,262144,27.88
0,30,524288,49.70
0,30,1048576,93.78
0,30,2097152,181.85
0,30,4194304,354.12
0,31,1,1.01
0,31,2,1.01
0,31,4,1.01
0,31,8,1.02
0,31,16,1.03
0,31,32,1.05
0,31,64,1.18
0,31,128,1.22
0,31,256,2.49
0,31,512,1.53
0,31,1024,1.68
0,31,2048,2.40
0,31,4096,3.35
0,31,8192,4.75
0,31,16384,6.37
0,31,32768,8.44
0,31,65536,12.29
0,31,131072,18.53
0,31,262144,27.87
0,31,524288,49.80
0,31,1048576,93.58
0,31,2097152,181.59
0,31,4194304,353.78
0,32,1,1.01
0,32,2,1.02
0,32,4,1.01
0,32,8,1.02
0,32,16,1.04
0,32,32,1.05
0,32,64,1.18
0,32,128,1.22
0,32,256,2.49
0,32,512,1.53
0,32,1024,1.72
0,32,2048,2.41
0,32,4096,3.34
0,32,8192,4.75
0,32,16384,6.34
0,32,32768,8.41
0,32,65536,12.30
0,32,131072,18.53
0,32,262144,27.76
0,32,524288,49.60
0,32,1048576,93.38
0,32,2097152,181.44
0,32,4194304,354.13
0,33,1,1.02
0,33,2,1.02
0,33,4,1.01
0,33,8,1.03
0,33,16,1.03
0,33,32,1.05
0,33,64,1.18
0,33,128,1.22
0,33,256,2.50
0,33,512,1.54
0,33,1024,1.69
0,33,2048,2.41
0,33,4096,3.34
0,33,8192,4.77
0,33,16384,6.35
0,33,32768,8.40
0,33,65536,12.30
0,33,131072,18.51
0,33,262144,27.72
0,33,524288,49.62
0,33,1048576,93.57
0,33,2097152,181.93
0,33,4194304,353.99
0,34,1,1.01
0,34,2,1.01
0,34,4,1.01
0,34,8,1.01
0,34,16,1.04
0,34,32,1.05
0,34,64,1.18
0,34,128,1.22
0,34,256,2.49
0,34,512,1.53
0,34,1024,1.69
0,34,2048,2.40
0,34,4096,3.34
0,34,8192,4.77
0,34,16384,6.32
0,34,32768,8.42
0,34,65536,12.40
0,34,131072,18.51
0,34,262144,27.77
0,34,524288,49.58
0,34,1048576,93.40
0,34,2097152,181.36
0,34,4194304,353.30
0,35,1,1.01
0,35,2,1.01
0,35,4,1.01
0,35,8,1.02
0,35,16,1.03
0,35,32,1.05
0,35,64,1.18
0,35,128,1.22
0,35,256,2.53
0,35,512,1.53
0,35,1024,1.68
0,35,2048,2.40
0,35,4096,3.34
0,35,8192,4.75
0,35,16384,6.33
0,35,32768,8.44
0,35,65536,12.27
0,35,131072,18.68
0,35,262144,27.76
0,35,524288,49.56
0,35,1048576,93.48
0,35,2097152,181.65
0,35,4194304,354.01
0,36,1,1.02
0,36,2,1.01
0,36,4,1.01
0,36,8,1.02
0,36,16,1.04
0,36,32,1.05
0,36,64,1.18
0,36,128,1.22
0,36,256,1.46
0,36,512,1.54
0,36,1024,1.69
0,36,2048,2.41
0,36,4096,3.34
0,36,8192,4.75
0,36,16384,6.35
0,36,32768,8.43
0,36,65536,12.27
0,36,131072,18.53
0,36,262144,27.82
0,36,524288,49.53
0,36,1048576,93.71
0,36,2097152,181.55
0,36,4194304,353.62
0,37,1,1.01
0,37,2,1.01
0,37,4,1.01
0,37,8,1.01
0,37,16,1.05
0,37,32,1.05
0,37,64,1.18
0,37,128,1.22
0,37,256,2.55
0,37,512,1.54
0,37,1024,1.69
0,37,2048,2.40
0,37,4096,3.35
0,37,8192,4.75
0,37,16384,6.35
0,37,32768,8.42
0,37,65536,12.28
0,37,131072,18.61
0,37,262144,27.77
0,37,524288,49.67
0,37,1048576,93.65
0,37,2097152,181.53
0,37,4194304,354.05
0,38,1,1.15
0,38,2,1.01
0,38,4,1.01
0,38,8,1.01
0,38,16,1.02
0,38,32,1.04
0,38,64,1.18
0,38,128,1.22
0,38,256,2.54
0,38,512,1.53
0,38,1024,1.69
0,38,2048,2.40
0,38,4096,3.35
0,38,8192,4.74
0,38,16384,6.36
0,38,32768,8.44
0,38,65536,12.30
0,38,131072,18.53
0,38,262144,27.85
0,38,524288,49.79
0,38,1048576,93.72
0,38,2097152,181.71
0,38,4194304,353.92
0,39,1,1.01
0,39,2,1.01
0,39,4,1.01
0,39,8,1.01
0,39,16,1.02
0,39,32,1.04
0,39,64,1.19
0,39,128,1.22
0,39,256,2.49
0,39,512,1.53
0,39,1024,1.68
0,39,2048,2.41
0,39,4096,3.35
0,39,8192,4.76
0,39,16384,6.32
0,39,32768,8.44
0,39,65536,12.31
0,39,131072,18.59
0,39,262144,27.79
0,39,524288,49.80
0,39,1048576,93.74
0,39,2097152,181.66
0,39,4194304,353.98
0,40,1,1.01
0,40,2,1.00
0,40,4,1.01
0,40,8,1.01
0,40,16,1.03
0,40,32,1.04
0,40,64,1.18
0,40,128,1.22
0,40,256,2.56
0,40,512,1.54
0,40,1024,1.69
0,40,2048,2.40
0,40,4096,3.35
0,40,8192,4.75
0,40,16384,6.34
0,40,32768,8.43
0,40,65536,12.29
0,40,131072,18.54
0,40,262144,27.88
0,40,524288,49.57
0,40,1048576,93.78
0,40,2097152,181.26
0,40,4194304,353.45
0,41,1,1.01
0,41,2,1.01
0,41,4,1.00
0,41,8,1.01
0,41,16,1.01
0,41,32,1.04
0,41,64,1.18
0,41,128,1.22
0,41,256,2.51
0,41,512,1.53
0,41,1024,1.69
0,41,2048,2.41
0,41,4096,3.35
0,41,8192,4.76
0,41,16384,6.34
0,41,32768,8.44
0,41,65536,12.29
0,41,131072,18.53
0,41,262144,27.84
0,41,524288,49.80
0,41,1048576,93.70
0,41,2097152,181.70
0,41,4194304,353.95
0,42,1,1.02
0,42,2,1.01
0,42,4,1.02
0,42,8,1.03
0,42,16,1.17
0,42,32,1.06
0,42,64,1.20
0,42,128,1.24
0,42,256,2.51
0,42,512,1.55
0,42,1024,1.71
0,42,2048,2.42
0,42,4096,3.36
0,42,8192,4.77
0,42,16384,6.35
0,42,32768,8.45
0,42,65536,12.30
0,42,131072,18.53
0,42,262144,27.85
0,42,524288,49.56
0,42,1048576,93.59
0,42,2097152,181.44
0,42,4194304,353.77
0,43,1,1.01
0,43,2,1.01
0,43,4,1.01
0,43,8,1.01
0,43,16,1.03
0,43,32,1.04
0,43,64,1.18
0,43,128,1.24
0,43,256,1.45
0,43,512,1.53
0,43,1024,1.68
0,43,2048,2.40
0,43,4096,3.35
0,43,8192,4.74
0,43,16384,6.34
0,43,32768,8.45
0,43,65536,12.29
0,43,131072,18.55
0,43,262144,27.77
0,43,524288,49.66
0,43,1048576,93.49
0,43,2097152,181.45
0,43,4194304,354.07
0,44,1,1.09
0,44,2,1.01
0,44,4,1.01
0,44,8,1.02
0,44,16,1.03
0,44,32,1.04
0,44,64,1.18
0,44,128,1.22
0,44,256,2.49
0,44,512,1.53
0,44,1024,1.69
0,44,2048,2.40
0,44,4096,3.35
0,44,8192,4.75
0,44,16384,6.32
0,44,32768,8.42
0,44,65536,12.28
0,44,131072,18.50
0,44,262144,27.81
0,44,524288,49.70
0,44,1048576,93.64
0,44,2097152,181.64
0,44,4194304,353.77
0,45,1,1.01
0,45,2,1.01
0,45,4,1.01
0,45,8,1.02
0,45,16,1.04
0,45,32,1.05
0,45,64,1.18
0,45,128,1.22
0,45,256,2.54
0,45,512,1.53
0,45,1024,1.68
0,45,2048,2.39
0,45,4096,3.34
0,45,8192,4.76
0,45,16384,6.34
0,45,32768,8.52
0,45,65536,12.27
0,45,131072,18.55
0,45,262144,27.79
0,45,524288,49.68
0,45,1048576,93.49
0,45,2097152,181.93
0,45,4194304,354.07
0,46,1,1.01
0,46,2,1.01
0,46,4,1.01
0,46,8,1.01
0,46,16,1.02
0,46,32,1.04
0,46,64,1.19
0,46,128,1.22
0,46,256,2.51
0,46,512,1.54
0,46,1024,1.69
0,46,2048,2.40
0,46,4096,3.35
0,46,8192,4.77
0,46,16384,6.35
0,46,32768,8.44
0,46,65536,12.29
0,46,131072,18.50
0,46,262144,27.86
0,46,524288,49.84
0,46,1048576,93.57
0,46,2097152,181.27
0,46,4194304,353.44
0,47,1,1.01
0,47,2,1.01
0,47,4,1.01
0,47,8,1.02
0,47,16,1.03
0,47,32,1.05
0,47,64,1.19
0,47,128,1.22
0,47,256,2.49
0,47,512,1.53
0,47,1024,1.69
0,47,2048,2.40
0,47,4096,3.34
0,47,8192,4.77
0,47,16384,6.35
0,47,32768,8.42
0,47,65536,12.32
0,47,131072,18.52
0,47,262144,27.83
0,47,524288,49.87
0,47,1048576,93.68
0,47,2097152,181.49
0,47,4194304,353.83
