CPU_Pair,MessageSize,Latency
0,1,1,1.03
0,1,2,1.03
0,1,4,1.17
0,1,8,1.03
0,1,16,1.04
0,1,32,1.06
0,1,64,1.21
0,1,128,1.24
0,1,256,2.66
0,1,512,1.56
0,1,1024,1.73
0,1,2048,2.47
0,1,4096,3.48
0,1,8192,4.88
0,1,16384,6.35
0,1,32768,8.42
0,1,65536,12.29
0,1,131072,18.51
0,1,262144,27.83
0,1,524288,49.68
0,1,1048576,94.16
0,1,2097152,180.06
0,1,4194304,353.71
0,2,1,1.01
0,2,2,1.00
0,2,4,1.01
0,2,8,1.01
0,2,16,1.02
0,2,32,1.04
0,2,64,1.18
0,2,128,1.23
0,2,256,2.49
0,2,512,1.53
0,2,1024,1.68
0,2,2048,2.40
0,2,4096,3.34
0,2,8192,4.76
0,2,16384,6.37
0,2,32768,8.42
0,2,65536,12.29
0,2,131072,18.54
0,2,262144,27.88
0,2,524288,49.92
0,2,1048576,93.77
0,2,2097152,181.71
0,2,4194304,353.72
0,3,1,1.01
0,3,2,1.01
0,3,4,1.01
0,3,8,1.02
0,3,16,1.03
0,3,32,1.05
0,3,64,1.18
0,3,128,1.22
0,3,256,1.46
0,3,512,2.58
0,3,1024,1.69
0,3,2048,2.41
0,3,4096,3.34
0,3,8192,4.75
0,3,16384,6.34
0,3,32768,8.42
0,3,65536,12.30
0,3,131072,18.52
0,3,262144,27.87
0,3,524288,49.62
0,3,1048576,93.71
0,3,2097152,181.83
0,3,4194304,353.70
0,4,1,1.01
0,4,2,1.01
0,4,4,1.01
0,4,8,1.02
0,4,16,1.03
0,4,32,1.05
0,4,64,1.18
0,4,128,1.22
0,4,256,2.49
0,4,512,1.53
0,4,1024,1.69
0,4,2048,2.42
0,4,4096,3.35
0,4,8192,4.75
0,4,16384,6.35
0,4,32768,8.42
0,4,65536,12.30
0,4,131072,18.54
0,4,262144,27.98
0,4,524288,49.77
0,4,1048576,93.62
0,4,2097152,181.77
0,4,4194304,354.45
0,5,1,1.01
0,5,2,1.01
0,5,4,1.01
0,5,8,1.02
0,5,16,1.03
0,5,32,1.04
0,5,64,1.18
0,5,128,1.22
0,5,256,2.49
0,5,512,1.53
0,5,1024,1.68
0,5,2048,2.40
0,5,4096,3.35
0,5,8192,4.75
0,5,16384,6.34
0,5,32768,8.42
0,5,65536,12.30
0,5,131072,18.53
